_id,seq_id,source_sequence,mutant_index,source_index,source_location,sample_date,generator,mutation_rate,years,distribution
HIVD01_26,HIVD01_26,HIVD01,26,1,Atlanta,2024-01-27,dunes,0.0041,0.25,hiv
HIVD01_27,HIVD01_27,HIVD01,27,1,Atlanta,2024-01-28,dunes,0.0041,0.25,hiv
HIVD01_28,HIVD01_28,HIVD01,28,1,Atlanta,2024-01-29,dunes,0.0041,0.25,hiv
HIVD01_29,HIVD01_29,HIVD01,29,1,Atlanta,2024-01-30,dunes,0.0041,0.25,hiv
HIVD01_30,HIVD01_30,HIVD01,30,1,Atlanta,2024-01-31,dunes,0.0041,0.25,hiv
HIVD01_31,HIVD01_31,HIVD01,31,1,Atlanta,2024-02-01,dunes,0.0041,0.25,hiv
HIVD01_32,HIVD01_32,HIVD01,32,1,Atlanta,2024-02-02,dunes,0.0041,0.25,hiv
HIVD01_33,HIVD01_33,HIVD01,33,1,Atlanta,2024-02-03,dunes,0.0041,0.25,hiv
HIVD01_34,HIVD01_34,HIVD01,34,1,Atlanta,2024-02-04,dunes,0.0041,0.25,hiv
HIVD01_35,HIVD01_35,HIVD01,35,1,Atlanta,2024-02-05,dunes,0.0041,0.25,hiv
HIVD01_36,HIVD01_36,HIVD01,36,1,Atlanta,2024-02-06,dunes,0.0041,0.25,hiv
HIVD01_37,HIVD01_37,HIVD01,37,1,Atlanta,2024-02-07,dunes,0.0041,0.25,hiv
HIVD01_38,HIVD01_38,HIVD01,38,1,Atlanta,2024-02-08,dunes,0.0041,0.25,hiv
HIVD01_39,HIVD01_39,HIVD01,39,1,Atlanta,2024-02-09,dunes,0.0041,0.25,hiv
HIVD01_40,HIVD01_40,HIVD01,40,1,Atlanta,2024-02-10,dunes,0.0041,0.25,hiv
HIVD01_41,HIVD01_41,HIVD01,41,1,Atlanta,2024-02-11,dunes,0.0041,0.25,hiv
HIVD01_42,HIVD01_42,HIVD01,42,1,Atlanta,2024-02-12,dunes,0.0041,0.25,hiv
HIVD01_43,HIVD01_43,HIVD01,43,1,Atlanta,2024-02-13,dunes,0.0041,0.25,hiv
HIVD01_44,HIVD01_44,HIVD01,44,1,Atlanta,2024-02-14,dunes,0.0041,0.25,hiv
HIVD01_45,HIVD01_45,HIVD01,45,1,Atlanta,2024-02-15,dunes,0.0041,0.25,hiv
HIVD01_46,HIVD01_46,HIVD01,46,1,Atlanta,2024-02-16,dunes,0.0041,0.25,hiv
HIVD01_47,HIVD01_47,HIVD01,47,1,Atlanta,2024-02-17,dunes,0.0041,0.25,hiv
HIVD01_48,HIVD01_48,HIVD01,48,1,Atlanta,2024-02-18,dunes,0.0041,0.25,hiv
HIVD01_49,HIVD01_49,HIVD01,49,1,Atlanta,2024-02-19,dunes,0.0041,0.25,hiv
HIVD02_0,HIVD02_0,HIVD02,0,2,Baltimore,2024-02-20,dunes,0.0041,0.25,hiv
HIVD02_1,HIVD02_1,HIVD02,1,2,Baltimore,2024-02-21,dunes,0.0041,0.25,hiv
HIVD02_2,HIVD02_2,HIVD02,2,2,Baltimore,2024-02-22,dunes,0.0041,0.25,hiv
HIVD02_3,HIVD02_3,HIVD02,3,2,Baltimore,2024-02-23,dunes,0.0041,0.25,hiv
HIVD02_4,HIVD02_4,HIVD02,4,2,Baltimore,2024-02-24,dunes,0.0041,0.25,hiv
HIVD02_5,HIVD02_5,HIVD02,5,2,Baltimore,2024-02-25,dunes,0.0041,0.25,hiv
HIVD02_6,HIVD02_6,HIVD02,6,2,Baltimore,2024-02-26,dunes,0.0041,0.25,hiv
HIVD02_7,HIVD02_7,HIVD02,7,2,Baltimore,2024-02-27,dunes,0.0041,0.25,hiv
HIVD02_8,HIVD02_8,HIVD02,8,2,Baltimore,2024-02-28,dunes,0.0041,0.25,hiv
HIVD02_9,HIVD02_9,HIVD02,9,2,Baltimore,2024-02-29,dunes,0.0041,0.25,hiv
HIVD02_10,HIVD02_10,HIVD02,10,2,Baltimore,2024-03-01,dunes,0.0041,0.25,hiv
HIVD02_11,HIVD02_11,HIVD02,11,2,Baltimore,2024-03-02,dunes,0.0041,0.25,hiv
HIVD02_12,HIVD02_12,HIVD02,12,2,Baltimore,2024-03-03,dunes,0.0041,0.25,hiv
HIVD02_13,HIVD02_13,HIVD02,13,2,Baltimore,2024-03-04,dunes,0.0041,0.25,hiv
HIVD02_14,HIVD02_14,HIVD02,14,2,Baltimore,2024-03-05,dunes,0.0041,0.25,hiv
HIVD02_15,HIVD02_15,HIVD02,15,2,Baltimore,2024-03-06,dunes,0.0041,0.25,hiv
HIVD02_16,HIVD02_16,HIVD02,16,2,Baltimore,2024-03-07,dunes,0.0041,0.25,hiv
HIVD02_17,HIVD02_17,HIVD02,17,2,Baltimore,2024-03-08,dunes,0.0041,0.25,hiv
HIVD02_18,HIVD02_18,HIVD02,18,2,Baltimore,2024-03-09,dunes,0.0041,0.25,hiv
HIVD02_19,HIVD02_19,HIVD02,19,2,Baltimore,2024-03-10,dunes,0.0041,0.25,hiv
HIVD02_20,HIVD02_20,HIVD02,20,2,Baltimore,2024-03-11,dunes,0.0041,0.25,hiv
HIVD02_21,HIVD02_21,HIVD02,21,2,Baltimore,2024-03-12,dunes,0.0041,0.25,hiv
HIVD02_22,HIVD02_22,HIVD02,22,2,Baltimore,2024-03-13,dunes,0.0041,0.25,hiv
HIVD02_23,HIVD02_23,HIVD02,23,2,Baltimore,2024-03-14,dunes,0.0041,0.25,hiv
HIVD02_24,HIVD02_24,HIVD02,24,2,Baltimore,2024-03-15,dunes,0.0041,0.25,hiv
HIVD02_25,HIVD02_25,HIVD02,25,2,Baltimore,2024-03-16,dunes,0.0041,0.25,hiv
HIVD02_26,HIVD02_26,HIVD02,26,2,Baltimore,2024-03-17,dunes,0.0041,0.25,hiv
HIVD02_27,HIVD02_27,HIVD02,27,2,Baltimore,2024-03-18,dunes,0.0041,0.25,hiv
HIVD02_28,HIVD02_28,HIVD02,28,2,Baltimore,2024-03-19,dunes,0.0041,0.25,hiv
HIVD02_29,HIVD02_29,HIVD02,29,2,Baltimore,2024-03-20,dunes,0.0041,0.25,hiv
HIVD02_30,HIVD02_30,HIVD02,30,2,Baltimore,2024-03-21,dunes,0.0041,0.25,hiv
HIVD02_31,HIVD02_31,HIVD02,31,2,Baltimore,2024-03-22,dunes,0.0041,0.25,hiv
HIVD02_32,HIVD02_32,HIVD02,32,2,Baltimore,2024-03-23,dunes,0.0041,0.25,hiv
HIVD02_33,HIVD02_33,HIVD02,33,2,Baltimore,2024-03-24,dunes,0.0041,0.25,hiv
HIVD02_34,HIVD02_34,HIVD02,34,2,Baltimore,2024-03-25,dunes,0.0041,0.25,hiv
HIVD02_35,HIVD02_35,HIVD02,35,2,Baltimore,2024-03-26,dunes,0.0041,0.25,hiv
HIVD02_36,HIVD02_36,HIVD02,36,2,Baltimore,2024-03-27,dunes,0.0041,0.25,hiv
HIVD02_37,HIVD02_37,HIVD02,37,2,Baltimore,2024-03-28,dunes,0.0041,0.25,hiv
HIVD02_38,HIVD02_38,HIVD02,38,2,Baltimore,2024-03-29,dunes,0.0041,0.25,hiv
HIVD02_39,HIVD02_39,HIVD02,39,2,Baltimore,2024-03-30,dunes,0.0041,0.25,hiv
HIVD02_40,HIVD02_40,HIVD02,40,2,Baltimore,2024-03-31,dunes,0.0041,0.25,hiv
HIVD02_41,HIVD02_41,HIVD02,41,2,Baltimore,2024-04-01,dunes,0.0041,0.25,hiv
HIVD02_42,HIVD02_42,HIVD02,42,2,Baltimore,2024-04-02,dunes,0.0041,0.25,hiv
HIVD02_43,HIVD02_43,HIVD02,43,2,Baltimore,2024-04-03,dunes,0.0041,0.25,hiv
HIVD02_44,HIVD02_44,HIVD02,44,2,Baltimore,2024-04-04,dunes,0.0041,0.25,hiv
HIVD02_45,HIVD02_45,HIVD02,45,2,Baltimore,2024-04-05,dunes,0.0041,0.25,hiv
HIVD02_46,HIVD02_46,HIVD02,46,2,Baltimore,2024-04-06,dunes,0.0041,0.25,hiv
HIVD02_47,HIVD02_47,HIVD02,47,2,Baltimore,2024-04-07,dunes,0.0041,0.25,hiv
HIVD02_48,HIVD02_48,HIVD02,48,2,Baltimore,2024-04-08,dunes,0.0041,0.25,hiv
HIVD02_49,HIVD02_49,HIVD02,49,2,Baltimore,2024-04-09,dunes,0.0041,0.25,hiv
HIVD03_0,HIVD03_0,HIVD03,0,3,Chicago,2024-04-10,dunes,0.0041,0.25,hiv
HIVD03_1,HIVD03_1,HIVD03,1,3,Chicago,2024-04-11,dunes,0.0041,0.25,hiv
HIVD03_2,HIVD03_2,HIVD03,2,3,Chicago,2024-04-12,dunes,0.0041,0.25,hiv
HIVD03_3,HIVD03_3,HIVD03,3,3,Chicago,2024-04-13,dunes,0.0041,0.25,hiv
HIVD03_4,HIVD03_4,HIVD03,4,3,Chicago,2024-04-14,dunes,0.0041,0.25,hiv
HIVD03_5,HIVD03_5,HIVD03,5,3,Chicago,2024-04-15,dunes,0.0041,0.25,hiv
HIVD03_6,HIVD03_6,HIVD03,6,3,Chicago,2024-04-16,dunes,0.0041,0.25,hiv
HIVD03_7,HIVD03_7,HIVD03,7,3,Chicago,2024-04-17,dunes,0.0041,0.25,hiv
HIVD03_8,HIVD03_8,HIVD03,8,3,Chicago,2024-04-18,dunes,0.0041,0.25,hiv
HIVD03_9,HIVD03_9,HIVD03,9,3,Chicago,2024-04-19,dunes,0.0041,0.25,hiv
HIVD03_10,HIVD03_10,HIVD03,10,3,Chicago,2024-04-20,dunes,0.0041,0.25,hiv
HIVD03_11,HIVD03_11,HIVD03,11,3,Chicago,2024-04-21,dunes,0.0041,0.25,hiv
HIVD03_12,HIVD03_12,HIVD03,12,3,Chicago,2024-04-22,dunes,0.0041,0.25,hiv
HIVD03_13,HIVD03_13,HIVD03,13,3,Chicago,2024-04-23,dunes,0.0041,0.25,hiv
HIVD03_14,HIVD03_14,HIVD03,14,3,Chicago,2024-04-24,dunes,0.0041,0.25,hiv
HIVD03_15,HIVD03_15,HIVD03,15,3,Chicago,2024-04-25,dunes,0.0041,0.25,hiv
HIVD03_16,HIVD03_16,HIVD03,16,3,Chicago,2024-04-26,dunes,0.0041,0.25,hiv
HIVD03_17,HIVD03_17,HIVD03,17,3,Chicago,2024-04-27,dunes,0.0041,0.25,hiv
HIVD03_18,HIVD03_18,HIVD03,18,3,Chicago,2024-04-28,dunes,0.0041,0.25,hiv
HIVD03_19,HIVD03_19,HIVD03,19,3,Chicago,2024-04-29,dunes,0.0041,0.25,hiv
HIVD03_20,HIVD03_20,HIVD03,20,3,Chicago,2024-04-30,dunes,0.0041,0.25,hiv
HIVD03_21,HIVD03_21,HIVD03,21,3,Chicago,2024-05-01,dunes,0.0041,0.25,hiv
HIVD03_22,HIVD03_22,HIVD03,22,3,Chicago,2024-05-02,dunes,0.0041,0.25,hiv
HIVD03_23,HIVD03_23,HIVD03,23,3,Chicago,2024-05-03,dunes,0.0041,0.25,hiv
HIVD03_24,HIVD03_24,HIVD03,24,3,Chicago,2024-05-04,dunes,0.0041,0.25,hiv
HIVD03_25,HIVD03_25,HIVD03,25,3,Chicago,2024-05-05,dunes,0.0041,0.25,hiv
HIVD03_26,HIVD03_26,HIVD03,26,3,Chicago,2024-05-06,dunes,0.0041,0.25,hiv
HIVD03_27,HIVD03_27,HIVD03,27,3,Chicago,2024-05-07,dunes,0.0041,0.25,hiv
HIVD03_28,HIVD03_28,HIVD03,28,3,Chicago,2024-05-08,dunes,0.0041,0.25,hiv
HIVD03_29,HIVD03_29,HIVD03,29,3,Chicago,2024-05-09,dunes,0.0041,0.25,hiv
HIVD03_30,HIVD03_30,HIVD03,30,3,Chicago,2024-05-10,dunes,0.0041,0.25,hiv
HIVD03_31,HIVD03_31,HIVD03,31,3,Chicago,2024-05-11,dunes,0.0041,0.25,hiv
HIVD03_32,HIVD03_32,HIVD03,32,3,Chicago,2024-05-12,dunes,0.0041,0.25,hiv
HIVD03_33,HIVD03_33,HIVD03,33,3,Chicago,2024-05-13,dunes,0.0041,0.25,hiv
HIVD03_34,HIVD03_34,HIVD03,34,3,Chicago,2024-05-14,dunes,0.0041,0.25,hiv
HIVD03_35,HIVD03_35,HIVD03,35,3,Chicago,2024-05-15,dunes,0.0041,0.25,hiv
HIVD03_36,HIVD03_36,HIVD03,36,3,Chicago,2024-05-16,dunes,0.0041,0.25,hiv
HIVD03_37,HIVD03_37,HIVD03,37,3,Chicago,2024-05-17,dunes,0.0041,0.25,hiv
HIVD03_38,HIVD03_38,HIVD03,38,3,Chicago,2024-05-18,dunes,0.0041,0.25,hiv
HIVD03_39,HIVD03_39,HIVD03,39,3,Chicago,2024-05-19,dunes,0.0041,0.25,hiv
HIVD03_40,HIVD03_40,HIVD03,40,3,Chicago,2024-05-20,dunes,0.0041,0.25,hiv
HIVD03_41,HIVD03_41,HIVD03,41,3,Chicago,2024-05-21,dunes,0.0041,0.25,hiv
HIVD03_42,HIVD03_42,HIVD03,42,3,Chicago,2024-05-22,dunes,0.0041,0.25,hiv
HIVD03_43,HIVD03_43,HIVD03,43,3,Chicago,2024-05-23,dunes,0.0041,0.25,hiv
HIVD03_44,HIVD03_44,HIVD03,44,3,Chicago,2024-05-24,dunes,0.0041,0.25,hiv
HIVD03_45,HIVD03_45,HIVD03,45,3,Chicago,2024-05-25,dunes,0.0041,0.25,hiv
HIVD03_46,HIVD03_46,HIVD03,46,3,Chicago,2024-05-26,dunes,0.0041,0.25,hiv
HIVD03_47,HIVD03_47,HIVD03,47,3,Chicago,2024-05-27,dunes,0.0041,0.25,hiv
HIVD03_48,HIVD03_48,HIVD03,48,3,Chicago,2024-05-28,dunes,0.0041,0.25,hiv
HIVD03_49,HIVD03_49,HIVD03,49,3,Chicago,2024-05-29,dunes,0.0041,0.25,hiv
HIVD04_0,HIVD04_0,HIVD04,0,4,Denver,2024-05-30,dunes,0.0041,0.25,hiv
HIVD04_1,HIVD04_1,HIVD04,1,4,Denver,2024-05-31,dunes,0.0041,0.25,hiv
HIVD04_2,HIVD04_2,HIVD04,2,4,Denver,2024-06-01,dunes,0.0041,0.25,hiv
HIVD04_3,HIVD04_3,HIVD04,3,4,Denver,2024-06-02,dunes,0.0041,0.25,hiv
HIVD04_4,HIVD04_4,HIVD04,4,4,Denver,2024-06-03,dunes,0.0041,0.25,hiv
HIVD04_5,HIVD04_5,HIVD04,5,4,Denver,2024-06-04,dunes,0.0041,0.25,hiv
HIVD04_6,HIVD04_6,HIVD04,6,4,Denver,2024-06-05,dunes,0.0041,0.25,hiv
HIVD04_7,HIVD04_7,HIVD04,7,4,Denver,2024-06-06,dunes,0.0041,0.25,hiv
HIVD04_8,HIVD04_8,HIVD04,8,4,Denver,2024-06-07,dunes,0.0041,0.25,hiv
HIVD04_9,HIVD04_9,HIVD04,9,4,Denver,2024-06-08,dunes,0.0041,0.25,hiv
HIVD04_10,HIVD04_10,HIVD04,10,4,Denver,2024-06-09,dunes,0.0041,0.25,hiv
HIVD04_11,HIVD04_11,HIVD04,11,4,Denver,2024-06-10,dunes,0.0041,0.25,hiv
HIVD04_12,HIVD04_12,HIVD04,12,4,Denver,2024-06-11,dunes,0.0041,0.25,hiv
HIVD04_13,HIVD04_13,HIVD04,13,4,Denver,2024-06-12,dunes,0.0041,0.25,hiv
HIVD04_14,HIVD04_14,HIVD04,14,4,Denver,2024-06-13,dunes,0.0041,0.25,hiv
HIVD04_15,HIVD04_15,HIVD04,15,4,Denver,2024-06-14,dunes,0.0041,0.25,hiv
HIVD04_16,HIVD04_16,HIVD04,16,4,Denver,2024-06-15,dunes,0.0041,0.25,hiv
HIVD04_17,HIVD04_17,HIVD04,17,4,Denver,2024-06-16,dunes,0.0041,0.25,hiv
HIVD04_18,HIVD04_18,HIVD04,18,4,Denver,2024-06-17,dunes,0.0041,0.25,hiv
HIVD04_19,HIVD04_19,HIVD04,19,4,Denver,2024-06-18,dunes,0.0041,0.25,hiv
HIVD04_20,HIVD04_20,HIVD04,20,4,Denver,2024-06-19,dunes,0.0041,0.25,hiv
HIVD04_21,HIVD04_21,HIVD04,21,4,Denver,2024-06-20,dunes,0.0041,0.25,hiv
HIVD04_22,HIVD04_22,HIVD04,22,4,Denver,2024-06-21,dunes,0.0041,0.25,hiv
HIVD04_23,HIVD04_23,HIVD04,23,4,Denver,2024-06-22,dunes,0.0041,0.25,hiv
HIVD04_24,HIVD04_24,HIVD04,24,4,Denver,2024-06-23,dunes,0.0041,0.25,hiv
HIVD04_25,HIVD04_25,HIVD04,25,4,Denver,2024-06-24,dunes,0.0041,0.25,hiv
HIVD04_26,HIVD04_26,HIVD04,26,4,Denver,2024-06-25,dunes,0.0041,0.25,hiv
HIVD04_27,HIVD04_27,HIVD04,27,4,Denver,2024-06-26,dunes,0.0041,0.25,hiv
HIVD04_28,HIVD04_28,HIVD04,28,4,Denver,2024-06-27,dunes,0.0041,0.25,hiv
HIVD04_29,HIVD04_29,HIVD04,29,4,Denver,2024-06-28,dunes,0.0041,0.25,hiv
HIVD04_30,HIVD04_30,HIVD04,30,4,Denver,2024-06-29,dunes,0.0041,0.25,hiv
HIVD04_31,HIVD04_31,HIVD04,31,4,Denver,2024-06-30,dunes,0.0041,0.25,hiv
HIVD04_32,HIVD04_32,HIVD04,32,4,Denver,2024-07-01,dunes,0.0041,0.25,hiv
HIVD04_33,HIVD04_33,HIVD04,33,4,Denver,2024-07-02,dunes,0.0041,0.25,hiv
HIVD04_34,HIVD04_34,HIVD04,34,4,Denver,2024-07-03,dunes,0.0041,0.25,hiv
HIVD04_35,HIVD04_35,HIVD04,35,4,Denver,2024-07-04,dunes,0.0041,0.25,hiv
HIVD04_36,HIVD04_36,HIVD04,36,4,Denver,2024-07-05,dunes,0.0041,0.25,hiv
HIVD04_37,HIVD04_37,HIVD04,37,4,Denver,2024-07-06,dunes,0.0041,0.25,hiv
HIVD04_38,HIVD04_38,HIVD04,38,4,Denver,2024-07-07,dunes,0.0041,0.25,hiv
HIVD04_39,HIVD04_39,HIVD04,39,4,Denver,2024-07-08,dunes,0.0041,0.25,hiv
HIVD04_40,HIVD04_40,HIVD04,40,4,Denver,2024-07-09,dunes,0.0041,0.25,hiv
HIVD04_41,HIVD04_41,HIVD04,41,4,Denver,2024-07-10,dunes,0.0041,0.25,hiv
HIVD04_42,HIVD04_42,HIVD04,42,4,Denver,2024-07-11,dunes,0.0041,0.25,hiv
HIVD04_43,HIVD04_43,HIVD04,43,4,Denver,2024-07-12,dunes,0.0041,0.25,hiv
HIVD04_44,HIVD04_44,HIVD04,44,4,Denver,2024-07-13,dunes,0.0041,0.25,hiv
HIVD04_45,HIVD04_45,HIVD04,45,4,Denver,2024-07-14,dunes,0.0041,0.25,hiv
HIVD04_46,HIVD04_46,HIVD04,46,4,Denver,2024-07-15,dunes,0.0041,0.25,hiv
HIVD04_47,HIVD04_47,HIVD04,47,4,Denver,2024-07-16,dunes,0.0041,0.25,hiv
HIVD04_48,HIVD04_48,HIVD04,48,4,Denver,2024-07-17,dunes,0.0041,0.25,hiv
HIVD04_49,HIVD04_49,HIVD04,49,4,Denver,2024-07-18,dunes,0.0041,0.25,hiv
HIVD05_0,HIVD05_0,HIVD05,0,5,Miami,2024-07-19,dunes,0.0041,0.25,hiv
HIVD05_1,HIVD05_1,HIVD05,1,5,Miami,2024-07-20,dunes,0.0041,0.25,hiv
HIVD05_2,HIVD05_2,HIVD05,2,5,Miami,2024-07-21,dunes,0.0041,0.25,hiv
HIVD05_3,HIVD05_3,HIVD05,3,5,Miami,2024-07-22,dunes,0.0041,0.25,hiv
HIVD05_4,HIVD05_4,HIVD05,4,5,Miami,2024-07-23,dunes,0.0041,0.25,hiv
HIVD05_5,HIVD05_5,HIVD05,5,5,Miami,2024-07-24,dunes,0.0041,0.25,hiv
HIVD05_6,HIVD05_6,HIVD05,6,5,Miami,2024-07-25,dunes,0.0041,0.25,hiv
HIVD05_7,HIVD05_7,HIVD05,7,5,Miami,2024-07-26,dunes,0.0041,0.25,hiv
HIVD05_8,HIVD05_8,HIVD05,8,5,Miami,2024-07-27,dunes,0.0041,0.25,hiv
HIVD05_9,HIVD05_9,HIVD05,9,5,Miami,2024-07-28,dunes,0.0041,0.25,hiv
HIVD05_10,HIVD05_10,HIVD05,10,5,Miami,2024-07-29,dunes,0.0041,0.25,hiv
HIVD05_11,HIVD05_11,HIVD05,11,5,Miami,2024-07-30,dunes,0.0041,0.25,hiv
HIVD05_12,HIVD05_12,HIVD05,12,5,Miami,2024-07-31,dunes,0.0041,0.25,hiv
HIVD05_13,HIVD05_13,HIVD05,13,5,Miami,2024-08-01,dunes,0.0041,0.25,hiv
HIVD05_14,HIVD05_14,HIVD05,14,5,Miami,2024-08-02,dunes,0.0041,0.25,hiv
HIVD05_15,HIVD05_15,HIVD05,15,5,Miami,2024-08-03,dunes,0.0041,0.25,hiv
HIVD05_16,HIVD05_16,HIVD05,16,5,Miami,2024-08-04,dunes,0.0041,0.25,hiv
HIVD05_17,HIVD05_17,HIVD05,17,5,Miami,2024-08-05,dunes,0.0041,0.25,hiv
HIVD05_18,HIVD05_18,HIVD05,18,5,Miami,2024-08-06,dunes,0.0041,0.25,hiv
HIVD05_19,HIVD05_19,HIVD05,19,5,Miami,2024-08-07,dunes,0.0041,0.25,hiv
HIVD05_20,HIVD05_20,HIVD05,20,5,Miami,2024-08-08,dunes,0.0041,0.25,hiv
HIVD05_21,HIVD05_21,HIVD05,21,5,Miami,2024-08-09,dunes,0.0041,0.25,hiv
HIVD05_22,HIVD05_22,HIVD05,22,5,Miami,2024-08-10,dunes,0.0041,0.25,hiv
HIVD05_23,HIVD05_23,HIVD05,23,5,Miami,2024-08-11,dunes,0.0041,0.25,hiv
HIVD05_24,HIVD05_24,HIVD05,24,5,Miami,2024-08-12,dunes,0.0041,0.25,hiv
HIVD05_25,HIVD05_25,HIVD05,25,5,Miami,2024-08-13,dunes,0.0041,0.25,hiv
HIVD05_26,HIVD05_26,HIVD05,26,5,Miami,2024-08-14,dunes,0.0041,0.25,hiv
HIVD05_27,HIVD05_27,HIVD05,27,5,Miami,2024-08-15,dunes,0.0041,0.25,hiv
HIVD05_28,HIVD05_28,HIVD05,28,5,Miami,2024-08-16,dunes,0.0041,0.25,hiv
HIVD05_29,HIVD05_29,HIVD05,29,5,Miami,2024-08-17,dunes,0.0041,0.25,hiv
HIVD05_30,HIVD05_30,HIVD05,30,5,Miami,2024-08-18,dunes,0.0041,0.25,hiv
HIVD05_31,HIVD05_31,HIVD05,31,5,Miami,2024-08-19,dunes,0.0041,0.25,hiv
HIVD05_32,HIVD05_32,HIVD05,32,5,Miami,2024-08-20,dunes,0.0041,0.25,hiv
HIVD05_33,HIVD05_33,HIVD05,33,5,Miami,2024-08-21,dunes,0.0041,0.25,hiv
HIVD05_34,HIVD05_34,HIVD05,34,5,Miami,2024-08-22,dunes,0.0041,0.25,hiv
HIVD05_35,HIVD05_35,HIVD05,35,5,Miami,2024-08-23,dunes,0.0041,0.25,hiv
HIVD05_36,HIVD05_36,HIVD05,36,5,Miami,2024-08-24,dunes,0.0041,0.25,hiv
HIVD05_37,HIVD05_37,HIVD05,37,5,Miami,2024-08-25,dunes,0.0041,0.25,hiv
HIVD05_38,HIVD05_38,HIVD05,38,5,Miami,2024-08-26,dunes,0.0041,0.25,hiv
HIVD05_39,HIVD05_39,HIVD05,39,5,Miami,2024-08-27,dunes,0.0041,0.25,hiv
HIVD05_40,HIVD05_40,HIVD05,40,5,Miami,2024-08-28,dunes,0.0041,0.25,hiv
HIVD05_41,HIVD05_41,HIVD05,41,5,Miami,2024-08-29,dunes,0.0041,0.25,hiv
HIVD05_42,HIVD05_42,HIVD05,42,5,Miami,2024-08-30,dunes,0.0041,0.25,hiv
HIVD05_43,HIVD05_43,HIVD05,43,5,Miami,2024-08-31,dunes,0.0041,0.25,hiv
HIVD05_44,HIVD05_44,HIVD05,44,5,Miami,2024-09-01,dunes,0.0041,0.25,hiv
HIVD05_45,HIVD05_45,HIVD05,45,5,Miami,2024-09-02,dunes,0.0041,0.25,hiv
HIVD05_46,HIVD05_46,HIVD05,46,5,Miami,2024-09-03,dunes,0.0041,0.25,hiv
HIVD05_47,HIVD05_47,HIVD05,47,5,Miami,2024-09-04,dunes,0.0041,0.25,hiv
HIVD05_48,HIVD05_48,HIVD05,48,5,Miami,2024-09-05,dunes,0.0041,0.25,hiv
HIVD05_49,HIVD05_49,HIVD05,49,5,Miami,2024-09-06,dunes,0.0041,0.25,hiv
HIVD06_0,HIVD06_0,HIVD06,0,6,Atlanta,2024-09-07,dunes,0.0041,0.25,hiv
HIVD06_1,HIVD06_1,HIVD06,1,6,Atlanta,2024-09-08,dunes,0.0041,0.25,hiv
