"_id","seq_id","location","location_state_index","sample_date","simulation_generation"
"PM500_0048","PM500_0048","Northeast",1,"2024-02-18",0.05930754
"PM500_0049","PM500_0049","Northeast",1,"2024-02-19",0.05930754
"PM500_0050","PM500_0050","Midwest",3,"2024-02-22",0.05930754
"PM500_0051","PM500_0051","Midwest",3,"2024-02-23",0.05930754
"PM500_0052","PM500_0052","Midwest",3,"2024-02-24",0.05930754
"PM500_0053","PM500_0053","Northeast",1,"2024-02-23",0.05930754
"PM500_0054","PM500_0054","Midwest",3,"2024-02-26",0.05930754
"PM500_0055","PM500_0055","Midwest",3,"2024-02-27",0.05930754
"PM500_0056","PM500_0056","Midwest",3,"2024-02-28",0.05930754
"PM500_0057","PM500_0057","Northeast",1,"2024-02-27",0.05930754
"PM500_0058","PM500_0058","West",4,"2024-03-02",0.05930754
"PM500_0059","PM500_0059","South",2,"2024-03-01",0.05930754
"PM500_0060","PM500_0060","Midwest",3,"2024-03-03",0.05930754
"PM500_0061","PM500_0061","South",2,"2024-03-03",0.05930754
"PM500_0062","PM500_0062","Northeast",1,"2024-03-03",0.05930754
"PM500_0063","PM500_0063","Northeast",1,"2024-03-04",0.05930754
"PM500_0064","PM500_0064","West",4,"2024-03-08",0.05930754
"PM500_0065","PM500_0065","Midwest",3,"2024-03-08",0.05930754
"PM500_0066","PM500_0066","International",5,"2024-03-11",0.05930754
"PM500_0067","PM500_0067","West",4,"2024-03-11",0.05930754
"PM500_0068","PM500_0068","South",2,"2024-03-10",0.05930754
"PM500_0069","PM500_0069","South",2,"2024-03-11",0.05930754
"PM500_0070","PM500_0070","South",2,"2024-03-12",0.05930754
"PM500_0071","PM500_0071","Northeast",1,"2024-03-12",0.05930754
"PM500_0072","PM500_0072","Northeast",1,"2024-03-13",0.05930754
"PM500_0073","PM500_0073","Midwest",3,"2024-03-16",0.05930754
"PM500_0074","PM500_0074","Northeast",1,"2024-03-15",0.05930754
"PM500_0075","PM500_0075","South",2,"2024-03-17",0.05930754
"PM500_0076","PM500_0076","West",4,"2024-03-20",0.05930754
"PM500_0077","PM500_0077","West",4,"2024-03-21",0.05930754
"PM500_0078","PM500_0078","Northeast",1,"2024-03-19",0.05930754
"PM500_0079","PM500_0079","South",2,"2024-03-21",0.05930754
"PM500_0080","PM500_0080","Northeast",1,"2024-03-21",0.05930754
"PM500_0081","PM500_0081","Midwest",3,"2024-03-24",0.05930754
"PM500_0082","PM500_0082","Midwest",3,"2024-03-25",0.05930754
"PM500_0083","PM500_0083","Northeast",1,"2024-03-24",0.05930754
"PM500_0084","PM500_0084","Midwest",3,"2024-03-27",0.05930754
"PM500_0085","PM500_0085","Midwest",3,"2024-03-28",0.05930754
"PM500_0086","PM500_0086","South",2,"2024-03-28",0.05930754
"PM500_0087","PM500_0087","West",4,"2024-03-31",0.05930754
"PM500_0088","PM500_0088","International",5,"2024-04-02",0.05930754
"PM500_0089","PM500_0089","International",5,"2024-04-03",0.05930754
"PM500_0090","PM500_0090","International",5,"2024-04-04",0.05930754
"PM500_0091","PM500_0091","West",4,"2024-04-04",0.05930754
"PM500_0092","PM500_0092","West",4,"2024-04-05",0.05930754
"PM500_0093","PM500_0093","Midwest",3,"2024-04-05",0.05930754
"PM500_0094","PM500_0094","Northeast",1,"2024-04-04",0.05930754
"PM500_0095","PM500_0095","International",5,"2024-04-09",0.05930754
"PM500_0096","PM500_0096","Northeast",1,"2024-04-06",0.05930754
"PM500_0097","PM500_0097","South",2,"2024-04-08",0.05930754
"PM500_0098","PM500_0098","Northeast",1,"2024-04-08",0.05930754
"PM500_0099","PM500_0099","Northeast",1,"2024-04-09",0.05930754
"PM500_0100","PM500_0100","Midwest",3,"2024-04-12",0.05930754
"PM500_0101","PM500_0101","Northeast",1,"2024-04-11",0.05930754
"PM500_0102","PM500_0102","South",2,"2024-04-13",0.05930754
"PM500_0103","PM500_0103","West",4,"2024-04-16",0.05930754
"PM500_0104","PM500_0104","South",2,"2024-04-15",0.05930754
"PM500_0105","PM500_0105","West",4,"2024-04-18",0.05930754
"PM500_0106","PM500_0106","Northeast",1,"2024-04-16",0.05930754
"PM500_0107","PM500_0107","Northeast",1,"2024-04-17",0.05930754
"PM500_0108","PM500_0108","Northeast",1,"2024-04-18",0.05930754
"PM500_0109","PM500_0109","South",2,"2024-04-20",0.05930754
"PM500_0110","PM500_0110","International",5,"2024-04-24",0.05930754
"PM500_0111","PM500_0111","International",5,"2024-04-25",0.05930754
"PM500_0112","PM500_0112","International",5,"2024-04-26",0.05930754
"PM500_0113","PM500_0113","West",4,"2024-04-26",0.05930754
"PM500_0114","PM500_0114","South",2,"2024-04-25",0.05930754
"PM500_0115","PM500_0115","South",2,"2024-04-26",0.05930754
"PM500_0116","PM500_0116","Northeast",1,"2024-04-26",0.05930754
"PM500_0117","PM500_0117","South",2,"2024-04-28",0.05930754
"PM500_0118","PM500_0118","Northeast",1,"2024-04-28",0.05930754
"PM500_0119","PM500_0119","West",4,"2024-05-02",0.05930754
"PM500_0120","PM500_0120","South",2,"2024-05-01",0.05930754
"PM500_0121","PM500_0121","Midwest",3,"2024-05-03",0.05930754
"PM500_0122","PM500_0122","South",2,"2024-05-03",0.05930754
"PM500_0123","PM500_0123","West",4,"2024-05-06",0.05930754
"PM500_0124","PM500_0124","South",2,"2024-05-05",0.05930754
"PM500_0125","PM500_0125","South",2,"2024-05-06",0.05930754
"PM500_0126","PM500_0126","South",2,"2024-05-07",0.05930754
"PM500_0127","PM500_0127","South",2,"2024-05-08",0.05930754
"PM500_0128","PM500_0128","International",5,"2024-05-12",0.05930754
"PM500_0129","PM500_0129","International",5,"2024-05-13",0.05930754
"PM500_0130","PM500_0130","Midwest",3,"2024-05-12",0.05930754
"PM500_0131","PM500_0131","West",4,"2024-05-14",0.05930754
"PM500_0132","PM500_0132","South",2,"2024-05-13",0.05930754
"PM500_0133","PM500_0133","South",2,"2024-05-14",0.05930754
"PM500_0134","PM500_0134","West",4,"2024-05-17",0.05930754
"PM500_0135","PM500_0135","West",4,"2024-05-18",0.05930754
"PM500_0136","PM500_0136","Northeast",1,"2024-05-16",0.05930754
"PM500_0137","PM500_0137","West",4,"2024-05-20",0.05930754
"PM500_0138","PM500_0138","Midwest",3,"2024-05-20",0.05930754
"PM500_0139","PM500_0139","South",2,"2024-05-20",0.05930754
"PM500_0140","PM500_0140","Northeast",1,"2024-05-20",0.05930754
"PM500_0141","PM500_0141","South",2,"2024-05-22",0.05930754
"PM500_0142","PM500_0142","South",2,"2024-05-23",0.05930754
"PM500_0143","PM500_0143","South",2,"2024-05-24",0.05930754
"PM500_0144","PM500_0144","South",2,"2024-05-25",0.05930754
"PM500_0145","PM500_0145","Midwest",3,"2024-05-27",0.05930754
"PM500_0146","PM500_0146","International",5,"2024-05-30",0.05930754
"PM500_0147","PM500_0147","South",2,"2024-05-28",0.05930754
"PM500_0148","PM500_0148","Midwest",3,"2024-05-30",0.05930754
"PM500_0149","PM500_0149","Northeast",1,"2024-05-29",0.05930754
"PM500_0150","PM500_0150","International",5,"2024-06-03",0.05930754
"PM500_0151","PM500_0151","Midwest",3,"2024-06-02",0.05930754
"PM500_0152","PM500_0152","West",4,"2024-06-04",0.05930754
"PM500_0153","PM500_0153","West",4,"2024-06-05",0.05930754
"PM500_0154","PM500_0154","Midwest",3,"2024-06-05",0.05930754
"PM500_0155","PM500_0155","West",4,"2024-06-07",0.05930754
"PM500_0156","PM500_0156","Midwest",3,"2024-06-07",0.05930754
"PM500_0157","PM500_0157","Northeast",1,"2024-06-06",0.05930754
"PM500_0158","PM500_0158","Northeast",1,"2024-06-07",0.05930754
"PM500_0159","PM500_0159","Northeast",1,"2024-06-08",0.05930754
"PM500_0160","PM500_0160","South",2,"2024-06-10",0.05930754
"PM500_0161","PM500_0161","South",2,"2024-06-11",0.05930754
"PM500_0162","PM500_0162","South",2,"2024-06-12",0.05930754
"PM500_0163","PM500_0163","West",4,"2024-06-15",0.05930754
"PM500_0164","PM500_0164","South",2,"2024-06-14",0.05930754
"PM500_0165","PM500_0165","South",2,"2024-06-15",0.05930754
"PM500_0166","PM500_0166","West",4,"2024-06-18",0.05930754
"PM500_0167","PM500_0167","Midwest",3,"2024-06-18",0.05930754
"PM500_0168","PM500_0168","West",4,"2024-06-20",0.05930754
"PM500_0169","PM500_0169","South",2,"2024-06-19",0.05930754
"PM500_0170","PM500_0170","South",2,"2024-06-20",0.05930754
"PM500_0171","PM500_0171","Midwest",3,"2024-06-22",0.05930754
"PM500_0172","PM500_0172","Midwest",3,"2024-06-23",0.05930754
"PM500_0173","PM500_0173","South",2,"2024-06-23",0.05930754
"PM500_0174","PM500_0174","South",2,"2024-06-24",0.05930754
"PM500_0175","PM500_0175","Northeast",1,"2024-06-24",0.05930754
"PM500_0176","PM500_0176","Northeast",1,"2024-06-25",0.05930754
"PM500_0177","PM500_0177","Midwest",3,"2024-06-28",0.05930754
"PM500_0178","PM500_0178","Northeast",1,"2024-06-27",0.05930754
"PM500_0179","PM500_0179","West",4,"2024-07-01",0.05930754
"PM500_0180","PM500_0180","West",4,"2024-07-02",0.05930754
"PM500_0181","PM500_0181","Northeast",1,"2024-06-30",0.05930754
"PM500_0182","PM500_0182","Midwest",3,"2024-07-03",0.05930754
"PM500_0183","PM500_0183","West",4,"2024-07-05",0.05930754
"PM500_0184","PM500_0184","West",4,"2024-07-06",0.05930754
"PM500_0185","PM500_0185","West",4,"2024-07-07",0.05930754
"PM500_0186","PM500_0186","Northeast",1,"2024-07-05",0.05930754
"PM500_0187","PM500_0187","West",4,"2024-07-09",0.05930754
"PM500_0188","PM500_0188","West",4,"2024-07-10",0.05930754
"PM500_0189","PM500_0189","Midwest",3,"2024-07-10",0.05930754
"PM500_0190","PM500_0190","South",2,"2024-07-10",0.05930754
"PM500_0191","PM500_0191","Northeast",1,"2024-07-10",0.05930754
"PM500_0192","PM500_0192","South",2,"2024-07-12",0.05930754
"PM500_0193","PM500_0193","South",2,"2024-07-13",0.05930754
"PM500_0194","PM500_0194","Northeast",1,"2024-07-13",0.05930754
"PM500_0195","PM500_0195","Midwest",3,"2024-07-16",0.05930754
"PM500_0196","PM500_0196","Midwest",3,"2024-07-17",0.05930754
"PM500_0197","PM500_0197","South",2,"2024-07-17",0.05930754
"PM500_0198","PM500_0198","International",5,"2024-07-21",0.05930754
"PM500_0199","PM500_0199","West",4,"2024-07-21",0.05930754
"PM500_0200","PM500_0200","Northeast",1,"2024-07-19",0.05930754
"PM500_0201","PM500_0201","Northeast",1,"2024-07-20",0.05930754
"PM500_0202","PM500_0202","Northeast",1,"2024-07-21",0.05930754
"PM500_0203","PM500_0203","West",4,"2024-07-25",0.05930754
"PM500_0204","PM500_0204","Northeast",1,"2024-07-23",0.05930754
"PM500_0205","PM500_0205","International",5,"2024-07-28",0.05930754
"PM500_0206","PM500_0206","International",5,"2024-07-29",0.05930754
"PM500_0207","PM500_0207","Northeast",1,"2024-07-26",0.05930754
"PM500_0208","PM500_0208","South",2,"2024-07-28",0.05930754
"PM500_0209","PM500_0209","Northeast",1,"2024-07-28",0.05930754
"PM500_0210","PM500_0210","West",4,"2024-08-01",0.05930754
"PM500_0211","PM500_0211","Northeast",1,"2024-07-30",0.05930754
"PM500_0212","PM500_0212","Northeast",1,"2024-07-31",0.05930754
"PM500_0213","PM500_0213","Midwest",3,"2024-08-03",0.05930754
"PM500_0214","PM500_0214","South",2,"2024-08-03",0.05930754
"PM500_0215","PM500_0215","South",2,"2024-08-04",0.05930754
"PM500_0216","PM500_0216","West",4,"2024-08-07",0.05930754
"PM500_0217","PM500_0217","South",2,"2024-08-06",0.05930754
"PM500_0218","PM500_0218","Midwest",3,"2024-08-08",0.05930754
"PM500_0219","PM500_0219","Northeast",1,"2024-08-07",0.05930754
"PM500_0220","PM500_0220","Midwest",3,"2024-08-10",0.05930754
"PM500_0221","PM500_0221","Northeast",1,"2024-08-09",0.05930754
"PM500_0222","PM500_0222","International",5,"2024-08-14",0.05930754
"PM500_0223","PM500_0223","Northeast",1,"2024-08-11",0.05930754
"PM500_0224","PM500_0224","South",2,"2024-08-13",0.05930754
"PM500_0225","PM500_0225","Northeast",1,"2024-08-13",0.05930754
"PM500_0226","PM500_0226","Northeast",1,"2024-08-14",0.05930754
"PM500_0227","PM500_0227","West",4,"2024-08-18",0.05930754
"PM500_0228","PM500_0228","Northeast",1,"2024-08-16",0.05930754
"PM500_0229","PM500_0229","Northeast",1,"2024-08-17",0.05930754
"PM500_0230","PM500_0230","South",2,"2024-08-19",0.05930754
"PM500_0231","PM500_0231","West",4,"2024-08-22",0.05930754
"PM500_0232","PM500_0232","Northeast",1,"2024-08-20",0.05930754
"PM500_0233","PM500_0233","South",2,"2024-08-22",0.05930754
"PM500_0234","PM500_0234","West",4,"2024-08-25",0.05930754
"PM500_0235","PM500_0235","West",4,"2024-08-26",0.05930754
"PM500_0236","PM500_0236","West",4,"2024-08-27",0.05930754
"PM500_0237","PM500_0237","West",4,"2024-08-28",0.05930754
"PM500_0238","PM500_0238","Northeast",1,"2024-08-26",0.05930754
"PM500_0239","PM500_0239","Northeast",1,"2024-08-27",0.05930754
"PM500_0240","PM500_0240","Midwest",3,"2024-08-30",0.05930754
"PM500_0241","PM500_0241","Northeast",1,"2024-08-29",0.05930754
"PM500_0242","PM500_0242","South",2,"2024-08-31",0.05930754
"PM500_0243","PM500_0243","South",2,"2024-09-01",0.05930754
"PM500_0244","PM500_0244","South",2,"2024-09-02",0.05930754
"PM500_0245","PM500_0245","South",2,"2024-09-03",0.05930754
"PM500_0246","PM500_0246","Northeast",1,"2024-09-03",0.05930754
"PM500_0247","PM500_0247","West",4,"2024-09-07",0.05930754
"PM500_0248","PM500_0248","West",4,"2024-09-08",0.05930754
"PM500_0249","PM500_0249","Midwest",3,"2024-09-08",0.05930754
"PM500_0250","PM500_0250","South",2,"2024-09-08",0.05930754
"PM500_0251","PM500_0251","Northeast",1,"2024-09-08",0.05930754
"PM500_0252","PM500_0252","West",4,"2024-09-12",0.05930754
"PM500_0253","PM500_0253","South",2,"2024-09-11",0.05930754
"PM500_0254","PM500_0254","West",4,"2024-09-14",0.05930754
"PM500_0255","PM500_0255","South",2,"2024-09-13",0.05930754
"PM500_0256","PM500_0256","Northeast",1,"2024-09-13",0.05930754
"PM500_0257","PM500_0257","South",2,"2024-09-15",0.05930754
"PM500_0258","PM500_0258","South",2,"2024-09-16",0.05930754
"PM500_0259","PM500_0259","Northeast",1,"2024-09-16",0.05930754
"PM500_0260","PM500_0260","West",4,"2024-09-20",0.05930754
"PM500_0261","PM500_0261","West",4,"2024-09-21",0.05930754
"PM500_0262","PM500_0262","South",2,"2024-09-20",0.05930754
"PM500_0263","PM500_0263","Northeast",1,"2024-09-20",0.05930754
"PM500_0264","PM500_0264","South",2,"2024-09-22",0.05930754
"PM500_0265","PM500_0265","West",4,"2024-09-25",0.05930754
"PM500_0266","PM500_0266","South",2,"2024-09-24",0.05930754
"PM500_0267","PM500_0267","Midwest",3,"2024-09-26",0.05930754
"PM500_0268","PM500_0268","Northeast",1,"2024-09-25",0.05930754
"PM500_0269","PM500_0269","Northeast",1,"2024-09-26",0.05930754
"PM500_0270","PM500_0270","South",2,"2024-09-28",0.05930754
"PM500_0271","PM500_0271","South",2,"2024-09-29",0.05930754
"PM500_0272","PM500_0272","South",2,"2024-09-30",0.05930754
"PM500_0273","PM500_0273","South",2,"2024-10-01",0.05930754
"PM500_0274","PM500_0274","Northeast",1,"2024-10-01",0.05930754
"PM500_0275","PM500_0275","Northeast",1,"2024-10-02",0.05930754
"PM500_0276","PM500_0276","South",2,"2024-10-04",0.05930754
"PM500_0277","PM500_0277","South",2,"2024-10-05",0.05930754
"PM500_0278","PM500_0278","South",2,"2024-10-06",0.05930754
"PM500_0279","PM500_0279","Northeast",1,"2024-10-06",0.05930754
"PM500_0280","PM500_0280","West",4,"2024-10-10",0.05930754
"PM500_0281","PM500_0281","West",4,"2024-10-11",0.05930754
"PM500_0282","PM500_0282","South",2,"2024-10-10",0.05930754
"PM500_0283","PM500_0283","Midwest",3,"2024-10-12",0.05930754
"PM500_0284","PM500_0284","Northeast",1,"2024-10-11",0.05930754
"PM500_0285","PM500_0285","West",4,"2024-10-15",0.05930754
"PM500_0286","PM500_0286","South",2,"2024-10-14",0.05930754
"PM500_0287","PM500_0287","South",2,"2024-10-15",0.05930754
"PM500_0288","PM500_0288","Northeast",1,"2024-10-15",0.05930754
"PM500_0289","PM500_0289","Midwest",3,"2024-10-18",0.05930754
"PM500_0290","PM500_0290","Midwest",3,"2024-10-19",0.05930754
"PM500_0291","PM500_0291","South",2,"2024-10-19",0.05930754
"PM500_0292","PM500_0292","South",2,"2024-10-20",0.05930754
"PM500_0293","PM500_0293","South",2,"2024-10-21",0.05930754
"PM500_0294","PM500_0294","South",2,"2024-10-22",0.05930754
"PM500_0295","PM500_0295","Midwest",3,"2024-10-24",0.05930754
"PM500_0296","PM500_0296","South",2,"2024-10-24",0.05930754
"PM500_0297","PM500_0297","South",2,"2024-10-25",0.05930754
"PM500_0298","PM500_0298","Midwest",3,"2024-10-27",0.05930754
"PM500_0299","PM500_0299","Midwest",3,"2024-10-28",0.05930754
"PM500_0300","PM500_0300","South",2,"2024-10-28",0.05930754
"PM500_0301","PM500_0301","South",2,"2024-10-29",0.05930754
"PM500_0302","PM500_0302","South",2,"2024-10-30",0.05930754
"PM500_0303","PM500_0303","South",2,"2024-10-31",0.05930754
"PM500_0304","PM500_0304","South",2,"2024-11-01",0.05930754
"PM500_0305","PM500_0305","Northeast",1,"2024-11-01",0.05930754
"PM500_0306","PM500_0306","South",2,"2024-11-03",0.05930754
"PM500_0307","PM500_0307","South",2,"2024-11-04",0.05930754
"PM500_0308","PM500_0308","Northeast",1,"2024-11-04",0.05930754
"PM500_0309","PM500_0309","South",2,"2024-11-06",0.05930754
"PM500_0310","PM500_0310","Midwest",3,"2024-11-08",0.05930754
"PM500_0311","PM500_0311","South",2,"2024-11-08",0.05930754
"PM500_0312","PM500_0312","West",4,"2024-11-11",0.05930754
"PM500_0313","PM500_0313","West",4,"2024-11-12",0.05930754
"PM500_0314","PM500_0314","Northeast",1,"2024-11-10",0.05930754
"PM500_0315","PM500_0315","Northeast",1,"2024-11-11",0.05930754
"PM500_0316","PM500_0316","Northeast",1,"2024-11-12",0.05930754
"PM500_0317","PM500_0317","Midwest",3,"2024-11-15",0.05930754
"PM500_0318","PM500_0318","Midwest",3,"2024-11-16",0.05930754
"PM500_0319","PM500_0319","South",2,"2024-11-16",0.05930754
"PM500_0320","PM500_0320","South",2,"2024-11-17",0.05930754
"PM500_0321","PM500_0321","South",2,"2024-11-18",0.05930754
"PM500_0322","PM500_0322","South",2,"2024-11-19",0.05930754
"PM500_0323","PM500_0323","South",2,"2024-11-20",0.05930754
"PM500_0324","PM500_0324","Midwest",3,"2024-11-22",0.05930754
"PM500_0325","PM500_0325","Northeast",1,"2024-11-21",0.05930754
"PM500_0326","PM500_0326","Northeast",1,"2024-11-22",0.05930754
"PM500_0327","PM500_0327","Northeast",1,"2024-11-23",0.05930754
"PM500_0328","PM500_0328","Northeast",1,"2024-11-24",0.05930754
"PM500_0329","PM500_0329","International",5,"2024-11-29",0.05930754
"PM500_0330","PM500_0330","International",5,"2024-11-30",0.05930754
"PM500_0331","PM500_0331","Northeast",1,"2024-11-27",0.05930754
"PM500_0332","PM500_0332","South",2,"2024-11-29",0.05930754
"PM500_0333","PM500_0333","Northeast",1,"2024-11-29",0.05930754
"PM500_0334","PM500_0334","Northeast",1,"2024-11-30",0.05930754
"PM500_0335","PM500_0335","South",2,"2024-12-02",0.05930754
"PM500_0336","PM500_0336","South",2,"2024-12-03",0.05930754
"PM500_0337","PM500_0337","Northeast",1,"2024-12-03",0.05930754
"PM500_0338","PM500_0338","Northeast",1,"2024-12-04",0.05930754
"PM500_0339","PM500_0339","Midwest",3,"2024-12-07",0.05930754
"PM500_0340","PM500_0340","Midwest",3,"2024-12-08",0.05930754
"PM500_0341","PM500_0341","South",2,"2024-12-08",0.05930754
"PM500_0342","PM500_0342","South",2,"2024-12-09",0.05930754
"PM500_0343","PM500_0343","South",2,"2024-12-10",0.05930754
"PM500_0344","PM500_0344","Northeast",1,"2024-12-10",0.05930754
"PM500_0345","PM500_0345","Northeast",1,"2024-12-11",0.05930754
"PM500_0346","PM500_0346","Midwest",3,"2024-12-14",0.05930754
"PM500_0347","PM500_0347","Northeast",1,"2024-12-13",0.05930754
"PM500_0348","PM500_0348","Northeast",1,"2024-12-14",0.05930754
"PM500_0349","PM500_0349","West",4,"2024-12-18",0.05930754
"PM500_0350","PM500_0350","West",4,"2024-12-19",0.05930754
"PM500_0351","PM500_0351","Northeast",1,"2024-12-17",0.05930754
"PM500_0352","PM500_0352","Midwest",3,"2024-12-20",0.05930754
"PM500_0353","PM500_0353","West",4,"2024-12-22",0.05930754
"PM500_0354","PM500_0354","Northeast",1,"2024-12-20",0.05930754
"PM500_0355","PM500_0355","Northeast",1,"2024-12-21",0.05930754
"PM500_0356","PM500_0356","Northeast",1,"2024-12-22",0.05930754
"PM500_0357","PM500_0357","West",4,"2024-12-26",0.05930754
"PM500_0358","PM500_0358","Northeast",1,"2024-12-24",0.05930754
"PM500_0359","PM500_0359","Northeast",1,"2024-12-25",0.05930754
"PM500_0360","PM500_0360","South",2,"2024-12-27",0.05930754
"PM500_0361","PM500_0361","South",2,"2024-12-28",0.05930754
"PM500_0362","PM500_0362","Midwest",3,"2024-12-30",0.05930754
"PM500_0363","PM500_0363","Midwest",3,"2024-12-31",0.05930754
"PM500_0364","PM500_0364","Northeast",1,"2024-12-30",0.05930754
"PM500_0365","PM500_0365","Northeast",1,"2024-12-31",0.05930754
"PM500_0366","PM500_0366","Northeast",1,"2025-01-01",0.05930754
"PM500_0367","PM500_0367","South",2,"2025-01-03",0.05930754
"PM500_0368","PM500_0368","Midwest",3,"2025-01-05",0.05930754
"PM500_0369","PM500_0369","Northeast",1,"2025-01-04",0.05930754
"PM500_0370","PM500_0370","Northeast",1,"2025-01-05",0.05930754
"PM500_0371","PM500_0371","South",2,"2025-01-07",0.05930754
"PM500_0372","PM500_0372","Midwest",3,"2025-01-09",0.05930754
"PM500_0373","PM500_0373","Northeast",1,"2025-01-08",0.05930754
"PM500_0374","PM500_0374","Northeast",1,"2025-01-09",0.05930754
"PM500_0375","PM500_0375","Northeast",1,"2025-01-10",0.05930754
"PM500_0376","PM500_0376","West",4,"2025-01-14",0.05930754
"PM500_0377","PM500_0377","Northeast",1,"2025-01-12",0.05930754
"PM500_0378","PM500_0378","Northeast",1,"2025-01-13",0.05930754
"PM500_0379","PM500_0379","South",2,"2025-01-15",0.05930754
"PM500_0380","PM500_0380","South",2,"2025-01-16",0.05930754
"PM500_0381","PM500_0381","South",2,"2025-01-17",0.05930754
"PM500_0382","PM500_0382","South",2,"2025-01-18",0.05930754
"PM500_0383","PM500_0383","South",2,"2025-01-19",0.05930754
"PM500_0384","PM500_0384","South",2,"2025-01-20",0.05930754
"PM500_0385","PM500_0385","Northeast",1,"2025-01-20",0.05930754
"PM500_0386","PM500_0386","Northeast",1,"2025-01-21",0.05930754
"PM500_0387","PM500_0387","Northeast",1,"2025-01-22",0.05930754
"PM500_0388","PM500_0388","West",4,"2025-01-26",0.05930754
"PM500_0389","PM500_0389","West",4,"2025-01-27",0.05930754
"PM500_0390","PM500_0390","International",5,"2025-01-29",0.05930754
"PM500_0391","PM500_0391","International",5,"2025-01-30",0.05930754
"PM500_0392","PM500_0392","Northeast",1,"2025-01-27",0.05930754
"PM500_0393","PM500_0393","Northeast",1,"2025-01-28",0.05930754
"PM500_0394","PM500_0394","Midwest",3,"2025-01-31",0.05930754
"PM500_0395","PM500_0395","Midwest",3,"2025-02-01",0.05930754
"PM500_0396","PM500_0396","South",2,"2025-02-01",0.05930754
"PM500_0397","PM500_0397","South",2,"2025-02-02",0.05930754
"PM500_0398","PM500_0398","Northeast",1,"2025-02-02",0.05930754
"PM500_0399","PM500_0399","Northeast",1,"2025-02-03",0.05930754
"PM500_0400","PM500_0400","Northeast",1,"2025-02-04",0.05930754
"PM500_0401","PM500_0401","South",2,"2025-02-06",0.05930754
"PM500_0402","PM500_0402","South",2,"2025-02-07",0.05930754
"PM500_0403","PM500_0403","Midwest",3,"2025-02-09",0.05930754
"PM500_0404","PM500_0404","South",2,"2025-02-09",0.05930754
"PM500_0405","PM500_0405","Northeast",1,"2025-02-09",0.05930754
