ID,No. of measles cases in 2025,Measles case count,No. of MMR doses administered in 2025,Cumulative MMR doses administered in 2025,No. of MMR doses administered during the same period in 2024,Cumulative MMR doses administered during the same period in 2024
NM-2025-034,2025-02-03,0,2025-02-03,4877,2025-02-03,4796
NM-2025-035,2025-02-04,0,2025-02-04,5032,2025-02-04,4941
NM-2025-036,2025-02-05,0,2025-02-05,5174,2025-02-05,5102
NM-2025-037,2025-02-06,0,2025-02-06,5302,2025-02-06,5219
NM-2025-038,2025-02-07,0,2025-02-07,5466,2025-02-07,5353
NM-2025-039,2025-02-08,0,2025-02-08,5617,2025-02-08,5504
NM-2025-040,2025-02-09,4,2025-02-09,5753,2025-02-09,5672
NM-2025-041,2025-02-10,6,2025-02-10,5877,2025-02-10,5796
NM-2025-042,2025-02-11,1,2025-02-11,6036,2025-02-11,5938
NM-2025-043,2025-02-12,1,2025-02-12,6181,2025-02-12,6096
NM-2025-044,2025-02-13,1,2025-02-13,6313,2025-02-13,6271
NM-2025-045,2025-02-14,0,2025-02-14,6481,2025-02-14,6402
NM-2025-046,2025-02-15,2,2025-02-15,6713,2025-02-15,6550
NM-2025-047,2025-02-16,1,2025-02-16,6973,2025-02-16,6715
NM-2025-048,2025-02-17,5,2025-02-17,7192,2025-02-17,6836
NM-2025-049,2025-02-18,1,2025-02-18,7439,2025-02-18,6975
NM-2025-050,2025-02-19,0,2025-02-19,7645,2025-02-19,7130
NM-2025-051,2025-02-20,0,2025-02-20,7879,2025-02-20,7302
NM-2025-052,2025-02-21,0,2025-02-21,8142,2025-02-21,7430
NM-2025-053,2025-02-22,0,2025-02-22,8364,2025-02-22,7575
NM-2025-054,2025-02-23,0,2025-02-23,8614,2025-02-23,7737
NM-2025-055,2025-02-24,0,2025-02-24,8823,2025-02-24,7855
NM-2025-056,2025-02-25,0,2025-02-25,9061,2025-02-25,7990
NM-2025-057,2025-02-26,2,2025-02-26,9326,2025-02-26,8143
NM-2025-058,2025-02-27,0,2025-02-27,9551,2025-02-27,8312
NM-2025-059,2025-02-28,0,2025-02-28,9804,2025-02-28,8437
NM-2025-060,2025-03-01,0,2025-03-01,10016,2025-03-01,8579
NM-2025-061,2025-03-02,0,2025-03-02,10256,2025-03-02,8738
NM-2025-062,2025-03-03,2,2025-03-03,10525,2025-03-03,8853
NM-2025-063,2025-03-04,0,2025-03-04,10753,2025-03-04,8985
NM-2025-064,2025-03-05,0,2025-03-05,11009,2025-03-05,9135
NM-2025-065,2025-03-06,3,2025-03-06,11224,2025-03-06,9301
NM-2025-066,2025-03-07,0,2025-03-07,11467,2025-03-07,9423
NM-2025-067,2025-03-08,0,2025-03-08,11738,2025-03-08,9562
NM-2025-068,2025-03-09,0,2025-03-09,11969,2025-03-09,9718
NM-2025-069,2025-03-10,0,2025-03-10,12228,2025-03-10,9891
NM-2025-070,2025-03-11,2,2025-03-11,12446,2025-03-11,10020
NM-2025-071,2025-03-12,0,2025-03-12,12692,2025-03-12,10167
NM-2025-072,2025-03-13,1,2025-03-13,12897,2025-03-13,10330
NM-2025-073,2025-03-14,0,2025-03-14,13131,2025-03-14,10449
NM-2025-074,2025-03-15,1,2025-03-15,13393,2025-03-15,10585
NM-2025-075,2025-03-16,0,2025-03-16,13613,2025-03-16,10738
NM-2025-076,2025-03-17,0,2025-03-17,13862,2025-03-17,10908
NM-2025-077,2025-03-18,3,2025-03-18,14071,2025-03-18,11034
NM-2025-078,2025-03-19,1,2025-03-19,14307,2025-03-19,11177
NM-2025-079,2025-03-20,0,2025-03-20,14572,2025-03-20,11338
NM-2025-080,2025-03-21,0,2025-03-21,14795,2025-03-21,11454
NM-2025-081,2025-03-22,0,2025-03-22,15048,2025-03-22,11587
NM-2025-082,2025-03-23,0,2025-03-23,15259,2025-03-23,11737
NM-2025-083,2025-03-24,0,2025-03-24,15498,2025-03-24,11904
NM-2025-084,2025-03-25,0,2025-03-25,15766,2025-03-25,12027
NM-2025-085,2025-03-26,1,2025-03-26,15992,2025-03-26,12167
NM-2025-086,2025-03-27,1,2025-03-27,16247,2025-03-27,12325
NM-2025-087,2025-03-28,1,2025-03-28,16461,2025-03-28,12499
NM-2025-088,2025-03-29,0,2025-03-29,16704,2025-03-29,12629
NM-2025-089,2025-03-30,2,2025-03-30,16974,2025-03-30,12776
NM-2025-090,2025-03-31,0,2025-03-31,17204,2025-03-31,12940
NM-2025-091,2025-04-01,2,2025-04-01,17462,2025-04-01,13060
NM-2025-092,2025-04-02,0,2025-04-02,17679,2025-04-02,13197
NM-2025-093,2025-04-03,2,2025-04-03,17924,2025-04-03,13352
NM-2025-094,2025-04-04,0,2025-04-04,18197,2025-04-04,13523
NM-2025-095,2025-04-05,2,2025-04-05,18430,2025-04-05,13650
NM-2025-096,2025-04-06,0,2025-04-06,18691,2025-04-06,13794
NM-2025-097,2025-04-07,1,2025-04-07,18911,2025-04-07,13955
NM-2025-098,2025-04-08,0,2025-04-08,19159,2025-04-08,14072
NM-2025-099,2025-04-09,1,2025-04-09,19366,2025-04-09,14206
NM-2025-100,2025-04-10,0,2025-04-10,19601,2025-04-10,14357
NM-2025-101,2025-04-11,0,2025-04-11,19865,2025-04-11,14526
NM-2025-102,2025-04-12,1,2025-04-12,20088,2025-04-12,14650
NM-2025-103,2025-04-13,0,2025-04-13,20339,2025-04-13,14791
NM-2025-104,2025-04-14,0,2025-04-14,20549,2025-04-14,14949
NM-2025-105,2025-04-15,0,2025-04-15,20787,2025-04-15,15124
NM-2025-106,2025-04-16,1,2025-04-16,21054,2025-04-16,15255
NM-2025-107,2025-04-17,0,2025-04-17,21280,2025-04-17,15403
NM-2025-108,2025-04-18,0,2025-04-18,21534,2025-04-18,15569
NM-2025-109,2025-04-19,0,2025-04-19,21747,2025-04-19,15690
NM-2025-110,2025-04-20,1,2025-04-20,21988,2025-04-20,15828
NM-2025-111,2025-04-21,0,2025-04-21,22258,2025-04-21,15983
NM-2025-112,2025-04-22,0,2025-04-22,22486,2025-04-22,16155
NM-2025-113,2025-04-23,0,2025-04-23,22743,2025-04-23,16283
NM-2025-114,2025-04-24,1,2025-04-24,22959,2025-04-24,16428
NM-2025-115,2025-04-25,0,2025-04-25,23203,2025-04-25,16591
NM-2025-116,2025-04-26,0,2025-04-26,23476,2025-04-26,16709
NM-2025-117,2025-04-27,0,2025-04-27,23708,2025-04-27,16844
NM-2025-118,2025-04-28,1,2025-04-28,23967,2025-04-28,16996
NM-2025-119,2025-04-29,0,2025-04-29,24186,2025-04-29,17165
NM-2025-120,2025-04-30,0,2025-04-30,24433,2025-04-30,17290
NM-2025-121,2025-05-01,0,2025-05-01,24640,2025-05-01,17432
NM-2025-122,2025-05-02,0,2025-05-02,24874,2025-05-02,17591
NM-2025-123,2025-05-03,0,2025-05-03,25137,2025-05-03,17707
NM-2025-124,2025-05-04,0,2025-05-04,25359,2025-05-04,17839
NM-2025-125,2025-05-05,1,2025-05-05,25609,2025-05-05,17988
NM-2025-126,2025-05-06,3,2025-05-06,25818,2025-05-06,18154
NM-2025-127,2025-05-07,1,2025-05-07,26055,2025-05-07,18276
NM-2025-128,2025-05-08,0,2025-05-08,26321,2025-05-08,18415
NM-2025-129,2025-05-09,0,2025-05-09,26546,2025-05-09,18571
NM-2025-130,2025-05-10,0,2025-05-10,26799,2025-05-10,18745
NM-2025-131,2025-05-11,0,2025-05-11,27011,2025-05-11,18874
NM-2025-132,2025-05-12,0,2025-05-12,27251,2025-05-12,19020
NM-2025-133,2025-05-13,1,2025-05-13,27520,2025-05-13,19183
NM-2025-134,2025-05-14,1,2025-05-14,27747,2025-05-14,19302
NM-2025-135,2025-05-15,0,2025-05-15,28003,2025-05-15,19438
NM-2025-136,2025-05-16,0,2025-05-16,28218,2025-05-16,19591
NM-2025-137,2025-05-17,0,2025-05-17,28462,2025-05-17,19762
NM-2025-138,2025-05-18,0,2025-05-18,28733,2025-05-18,19888
NM-2025-139,2025-05-19,0,2025-05-19,28964,2025-05-19,20031
NM-2025-140,2025-05-20,1,2025-05-20,29223,2025-05-20,20191
NM-2025-141,2025-05-21,0,2025-05-21,29440,2025-05-21,20307
NM-2025-142,2025-05-22,1,2025-05-22,29687,2025-05-22,20440
NM-2025-143,2025-05-23,0,2025-05-23,29892,2025-05-23,20590
NM-2025-144,2025-05-24,0,2025-05-24,30125,2025-05-24,20757
NM-2025-145,2025-05-25,0,2025-05-25,30387,2025-05-25,20881
NM-2025-146,2025-05-26,0,2025-05-26,30608,2025-05-26,21021
NM-2025-147,2025-05-27,0,2025-05-27,30857,2025-05-27,21178
NM-2025-148,2025-05-28,0,2025-05-28,31065,2025-05-28,21352
NM-2025-149,2025-05-29,1,2025-05-29,31302,2025-05-29,21482
NM-2025-150,2025-05-30,0,2025-05-30,31566,2025-05-30,21629
NM-2025-151,2025-05-31,0,2025-05-31,31790,2025-05-31,21793
NM-2025-152,2025-06-01,0,2025-06-01,32042,2025-06-01,21914
NM-2025-153,2025-06-02,0,2025-06-02,32253,2025-06-02,22051
NM-2025-154,2025-06-03,0,2025-06-03,32493,2025-06-03,22205
NM-2025-155,2025-06-04,0,2025-06-04,32760,2025-06-04,22376
NM-2025-156,2025-06-05,0,2025-06-05,32987,2025-06-05,22503
NM-2025-157,2025-06-06,0,2025-06-06,33242,2025-06-06,22647
NM-2025-158,2025-06-07,0,2025-06-07,33456,2025-06-07,22808
NM-2025-159,2025-06-08,0,2025-06-08,33698,2025-06-08,22925
NM-2025-160,2025-06-09,0,2025-06-09,33969,2025-06-09,23060
NM-2025-161,2025-06-10,0,2025-06-10,34198,2025-06-10,23211
NM-2025-162,2025-06-11,0,2025-06-11,34456,2025-06-11,23379
NM-2025-163,2025-06-12,0,2025-06-12,34673,2025-06-12,23503
NM-2025-164,2025-06-13,0,2025-06-13,34918,2025-06-13,23644
NM-2025-165,2025-06-14,0,2025-06-14,35192,2025-06-14,23802
NM-2025-166,2025-06-15,0,2025-06-15,35424,2025-06-15,23977
NM-2025-167,2025-06-16,0,2025-06-16,35685,2025-06-16,24109
NM-2025-168,2025-06-17,0,2025-06-17,35905,2025-06-17,24257
NM-2025-169,2025-06-18,0,2025-06-18,36153,2025-06-18,24422
NM-2025-170,2025-06-19,0,2025-06-19,36360,2025-06-19,24543
NM-2025-171,2025-06-20,0,2025-06-20,36596,2025-06-20,24681
NM-2025-172,2025-06-21,1,2025-06-21,36860,2025-06-21,24836
NM-2025-173,2025-06-22,2,2025-06-22,37082,2025-06-22,25008
NM-2025-174,2025-06-23,4,2025-06-23,37334,2025-06-23,25137
NM-2025-175,2025-06-24,4,2025-06-24,37544,2025-06-24,25282
NM-2025-176,2025-06-25,2,2025-06-25,37782,2025-06-25,25444
NM-2025-177,2025-06-26,0,2025-06-26,38049,2025-06-26,25562
NM-2025-178,2025-06-27,0,2025-06-27,38274,2025-06-27,25697
NM-2025-179,2025-06-28,0,2025-06-28,38528,2025-06-28,25849
NM-2025-180,2025-06-29,1,2025-06-29,38741,2025-06-29,26018
NM-2025-181,2025-06-30,0,2025-06-30,38983,2025-06-30,26143
NM-2025-182,2025-07-01,0,2025-07-01,39252,2025-07-01,26286
NM-2025-183,2025-07-02,0,2025-07-02,39481,2025-07-02,26445
NM-2025-184,2025-07-03,0,2025-07-03,39738,2025-07-03,26560
NM-2025-185,2025-07-04,0,2025-07-04,39954,2025-07-04,26692
NM-2025-186,2025-07-05,0,2025-07-05,40198,2025-07-05,26841
NM-2025-187,2025-07-06,0,2025-07-06,40471,2025-07-06,27007
NM-2025-188,2025-07-07,0,2025-07-07,40702,2025-07-07,27129
NM-2025-189,2025-07-08,0,2025-07-08,40962,2025-07-08,27269
NM-2025-190,2025-07-09,0,2025-07-09,41181,2025-07-09,27425
NM-2025-191,2025-07-10,0,2025-07-10,41428,2025-07-10,27598
NM-2025-192,2025-07-11,0,2025-07-11,41634,2025-07-11,27727
NM-2025-193,2025-07-12,0,2025-07-12,41869,2025-07-12,27873
NM-2025-194,2025-07-13,0,2025-07-13,42131,2025-07-13,28036
NM-2025-195,2025-07-14,0,2025-07-14,42353,2025-07-14,28155
NM-2025-196,2025-07-15,0,2025-07-15,42603,2025-07-15,28292
NM-2025-197,2025-07-16,0,2025-07-16,42812,2025-07-16,28445
NM-2025-198,2025-07-17,0,2025-07-17,43050,2025-07-17,28615
NM-2025-199,2025-07-18,0,2025-07-18,43316,2025-07-18,28741
NM-2025-200,2025-07-19,0,2025-07-19,43540,2025-07-19,28884
NM-2025-201,2025-07-20,0,2025-07-20,43793,2025-07-20,29044
NM-2025-202,2025-07-21,1,2025-07-21,44005,2025-07-21,29160
NM-2025-203,2025-07-22,0,2025-07-22,44246,2025-07-22,29293
NM-2025-204,2025-07-23,0,2025-07-23,44514,2025-07-23,29444
NM-2025-205,2025-07-24,0,2025-07-24,44742,2025-07-24,29611
NM-2025-206,2025-07-25,0,2025-07-25,44998,2025-07-25,29734
NM-2025-207,2025-07-26,0,2025-07-26,45213,2025-07-26,29874
NM-2025-208,2025-07-27,0,2025-07-27,45456,2025-07-27,30031
NM-2025-209,2025-07-28,0,2025-07-28,45728,2025-07-28,30205
NM-2025-210,2025-07-29,0,2025-07-29,45958,2025-07-29,30335
NM-2025-211,2025-07-30,1,2025-07-30,46217,2025-07-30,30483
NM-2025-212,2025-07-31,0,2025-07-31,46435,2025-07-31,30647
NM-2025-213,2025-08-01,0,2025-08-01,46681,2025-08-01,30767
NM-2025-214,2025-08-02,0,2025-08-02,46886,2025-08-02,30904
NM-2025-215,2025-08-03,0,2025-08-03,47120,2025-08-03,31058
NM-2025-216,2025-08-04,0,2025-08-04,47382,2025-08-04,31229
NM-2025-217,2025-08-05,0,2025-08-05,47603,2025-08-05,31356
NM-2025-218,2025-08-06,0,2025-08-06,47852,2025-08-06,31501
NM-2025-219,2025-08-07,0,2025-08-07,48060,2025-08-07,31662
NM-2025-220,2025-08-08,0,2025-08-08,48296,2025-08-08,31779
NM-2025-221,2025-08-09,0,2025-08-09,48561,2025-08-09,31913
NM-2025-222,2025-08-10,0,2025-08-10,48785,2025-08-10,32064
NM-2025-223,2025-08-11,1,2025-08-11,49037,2025-08-11,32232
NM-2025-224,2025-08-12,2,2025-08-12,49248,2025-08-12,32356
NM-2025-225,2025-08-13,0,2025-08-13,49487,2025-08-13,32497
NM-2025-226,2025-08-14,0,2025-08-14,49755,2025-08-14,32656
NM-2025-227,2025-08-15,0,2025-08-15,49982,2025-08-15,32831
NM-2025-228,2025-08-16,0,2025-08-16,50237,2025-08-16,32962
NM-2025-229,2025-08-17,0,2025-08-17,50451,2025-08-17,33110
NM-2025-230,2025-08-18,0,2025-08-18,50693,2025-08-18,33275
NM-2025-231,2025-08-19,0,2025-08-19,50963,2025-08-19,33396
NM-2025-232,2025-08-20,0,2025-08-20,51193,2025-08-20,33534
NM-2025-233,2025-08-21,0,2025-08-21,51451,2025-08-21,33690
NM-2025-234,2025-08-22,0,2025-08-22,51668,2025-08-22,33862
NM-2025-235,2025-08-23,0,2025-08-23,51913,2025-08-23,33990
NM-2025-236,2025-08-24,0,2025-08-24,52187,2025-08-24,34135
NM-2025-237,2025-08-25,0,2025-08-25,52419,2025-08-25,34297
NM-2025-238,2025-08-26,0,2025-08-26,52680,2025-08-26,34415
NM-2025-239,2025-08-27,0,2025-08-27,52900,2025-08-27,34550
NM-2025-240,2025-08-28,0,2025-08-28,53148,2025-08-28,34703
NM-2025-241,2025-08-29,0,2025-08-29,53355,2025-08-29,34872
NM-2025-242,2025-08-30,0,2025-08-30,53591,2025-08-30,34997
NM-2025-243,2025-08-31,0,2025-08-31,53854,2025-08-31,35139
NM-2025-244,2025-09-01,0,2025-09-01,54077,2025-09-01,35298
NM-2025-245,2025-09-02,0,2025-09-02,54328,2025-09-02,35413
NM-2025-246,2025-09-03,0,2025-09-03,54538,2025-09-03,35545
NM-2025-247,2025-09-04,0,2025-09-04,54777,2025-09-04,35694
NM-2025-248,2025-09-05,0,2025-09-05,55043,2025-09-05,35861
NM-2025-249,2025-09-06,0,2025-09-06,55269,2025-09-06,35983
NM-2025-250,2025-09-07,0,2025-09-07,55523,2025-09-07,36122
NM-2025-251,2025-09-08,0,2025-09-08,55736,2025-09-08,36278
NM-2025-252,2025-09-09,0,2025-09-09,55977,2025-09-09,36451
NM-2025-253,2025-09-10,0,2025-09-10,56247,2025-09-10,36580
NM-2025-254,2025-09-11,0,2025-09-11,56476,2025-09-11,36726
NM-2025-255,2025-09-12,0,2025-09-12,56733,2025-09-12,36890
NM-2025-256,2025-09-13,0,2025-09-13,56948,2025-09-13,37009
NM-2025-257,2025-09-14,0,2025-09-14,57193,2025-09-14,37145
NM-2025-258,2025-09-15,0,2025-09-15,57465,2025-09-15,37298
NM-2025-259,2025-09-16,0,2025-09-16,57697,2025-09-16,37468
NM-2025-260,2025-09-17,0,2025-09-17,57957,2025-09-17,37594
NM-2025-261,2025-09-18,0,2025-09-18,58176,2025-09-18,37737
NM-2025-262,2025-09-19,0,2025-09-19,58423,2025-09-19,37897
NM-2025-263,2025-09-20,0,2025-09-20,58629,2025-09-20,38014
NM-2025-264,2025-09-21,0,2025-09-21,58863,2025-09-21,38147
NM-2025-265,2025-09-22,0,2025-09-22,59126,2025-09-22,38297
NM-2025-266,2025-09-23,0,2025-09-23,59348,2025-09-23,38464
NM-2025-267,2025-09-24,0,2025-09-24,59598,2025-09-24,38587
NM-2025-268,2025-09-25,0,2025-09-25,59807,2025-09-25,38727
NM-2025-269,2025-09-26,0,2025-09-26,60045,2025-09-26,38884
NM-2025-270,2025-09-27,0,2025-09-27,60310,2025-09-27,39059
NM-2025-271,2025-09-28,0,2025-09-28,60535,2025-09-28,39189
NM-2025-272,2025-09-29,0,2025-09-29,60788,2025-09-29,39336
NM-2025-273,2025-09-30,0,2025-09-30,61000,2025-09-30,39500
