_id,sample_date,region,lineage,expected_snp_distance,expected_patristic_distance
ER500_0129,2017-06-15,North,Lineage 2,28,0.00485603
ER500_0130,2017-06-22,Central,Lineage 2,29,0.00509752
ER500_0131,2017-06-29,South,Lineage 2,31,0.00489995
ER500_0132,2017-07-06,West,Lineage 2,30,0.00500585
ER500_0133,2017-07-13,North,Lineage 2,34,0.00508492
ER500_0134,2017-07-20,Central,Lineage 2,34,0.00515190
ER500_0135,2017-07-27,South,Lineage 2,31,0.00513688
ER500_0136,2017-08-03,West,Lineage 2,28,0.00516238
ER500_0137,2017-08-10,North,Lineage 2,34,0.00516343
ER500_0138,2017-08-17,Central,Lineage 2,29,0.00506756
ER500_0139,2017-08-24,South,Lineage 2,30,0.00520021
ER500_0140,2017-08-31,West,Lineage 2,34,0.00511671
ER500_0141,2017-09-07,North,Lineage 2,28,0.00535282
ER500_0142,2017-09-14,Central,Lineage 2,35,0.00515083
ER500_0143,2017-09-21,South,Lineage 2,36,0.00522661
ER500_0144,2017-09-28,West,Lineage 2,34,0.00541247
ER500_0145,2017-10-05,North,Lineage 2,32,0.00531140
ER500_0146,2017-10-12,Central,Lineage 2,37,0.00534722
ER500_0147,2017-10-19,South,Lineage 2,32,0.00526339
ER500_0148,2017-10-26,West,Lineage 2,36,0.00542655
ER500_0149,2017-11-02,North,Lineage 2,35,0.00550142
ER500_0150,2017-11-09,Central,Lineage 2,36,0.00539678
ER500_0151,2017-11-16,South,Lineage 2,35,0.00540976
ER500_0152,2017-11-23,West,Lineage 2,38,0.00533376
ER500_0153,2017-11-30,North,Lineage 2,35,0.00561465
ER500_0154,2017-12-07,Central,Lineage 2,39,0.00545805
ER500_0155,2017-12-14,South,Lineage 2,36,0.00567675
ER500_0156,2017-12-21,West,Lineage 2,39,0.00554021
ER500_0157,2017-12-28,North,Lineage 2,38,0.00571669
ER500_0158,2018-01-04,Central,Lineage 2,32,0.00570089
ER500_0159,2018-01-11,South,Lineage 2,40,0.00556593
ER500_0160,2018-01-18,West,Lineage 2,38,0.00568550
ER500_0161,2018-01-25,North,Lineage 2,39,0.00561008
ER500_0162,2018-02-01,Central,Lineage 2,37,0.00576798
ER500_0163,2018-02-08,South,Lineage 2,38,0.00576690
ER500_0164,2018-02-15,West,Lineage 2,38,0.00561357
ER500_0165,2018-02-22,North,Lineage 2,39,0.00571613
ER500_0166,2018-03-01,Central,Lineage 2,38,0.00590508
ER500_0167,2018-03-08,South,Lineage 2,35,0.00567344
ER500_0168,2018-03-15,West,Lineage 2,37,0.00591241
ER500_0169,2018-03-22,North,Lineage 2,39,0.00587551
ER500_0170,2018-03-29,Central,Lineage 2,38,0.00586008
ER500_0171,2018-04-05,South,Lineage 2,41,0.00601856
ER500_0172,2018-04-12,West,Lineage 2,37,0.00592238
ER500_0173,2018-04-19,North,Lineage 2,39,0.00596755
ER500_0174,2018-04-26,Central,Lineage 2,44,0.00605077
ER500_0175,2018-05-03,South,Lineage 2,37,0.00612811
ER500_0176,2018-05-10,West,Lineage 2,37,0.00611341
ER500_0177,2018-05-17,North,Lineage 2,44,0.00594841
ER500_0178,2018-05-24,Central,Lineage 2,44,0.00620133
ER500_0179,2018-05-31,South,Lineage 2,41,0.00599331
ER500_0180,2018-06-07,West,Lineage 2,40,0.00613092
ER500_0181,2018-06-14,North,Lineage 2,38,0.00620780
ER500_0182,2018-06-21,Central,Lineage 2,39,0.00624764
ER500_0183,2018-06-28,South,Lineage 2,38,0.00626196
ER500_0184,2018-07-05,West,Lineage 2,40,0.00631038
ER500_0185,2018-07-12,North,Lineage 2,41,0.00614468
ER500_0186,2018-07-19,Central,Lineage 2,42,0.00621130
ER500_0187,2018-07-26,South,Lineage 2,42,0.00614834
ER500_0188,2018-08-02,West,Lineage 2,46,0.00636081
ER500_0189,2018-08-09,North,Lineage 2,39,0.00636151
ER500_0190,2018-08-16,Central,Lineage 2,40,0.00624239
ER500_0191,2018-08-23,South,Lineage 2,40,0.00646200
ER500_0192,2018-08-30,West,Lineage 2,44,0.00631687
ER500_0193,2018-09-06,North,Lineage 2,43,0.00637739
ER500_0194,2018-09-13,Central,Lineage 2,43,0.00653099
ER500_0195,2018-09-20,South,Lineage 2,45,0.00635518
ER500_0196,2018-09-27,West,Lineage 2,48,0.00645977
ER500_0197,2018-10-04,North,Lineage 2,43,0.00655986
ER500_0198,2018-10-11,Central,Lineage 2,47,0.00648748
ER500_0199,2018-10-18,South,Lineage 2,49,0.00668900
ER500_0200,2018-10-25,West,Lineage 2,47,0.00650690
ER500_0201,2018-11-01,North,Lineage 3,47,0.00647552
ER500_0202,2018-11-08,Central,Lineage 3,45,0.00649152
ER500_0203,2018-11-15,South,Lineage 3,46,0.00651847
ER500_0204,2018-11-22,West,Lineage 3,46,0.00677030
ER500_0205,2018-11-29,North,Lineage 3,47,0.00655933
ER500_0206,2018-12-06,Central,Lineage 3,50,0.00680987
ER500_0207,2018-12-13,South,Lineage 3,46,0.00679617
ER500_0208,2018-12-20,West,Lineage 3,45,0.00678370
ER500_0209,2018-12-27,North,Lineage 3,50,0.00680273
ER500_0210,2019-01-03,Central,Lineage 3,46,0.00668289
ER500_0211,2019-01-10,South,Lineage 3,46,0.00689471
ER500_0212,2019-01-17,West,Lineage 3,47,0.00679850
ER500_0213,2019-01-24,North,Lineage 3,47,0.00696044
ER500_0214,2019-01-31,Central,Lineage 3,50,0.00687981
ER500_0215,2019-02-07,South,Lineage 3,48,0.00684797
ER500_0216,2019-02-14,West,Lineage 3,46,0.00704841
ER500_0217,2019-02-21,North,Lineage 3,53,0.00707608
ER500_0218,2019-02-28,Central,Lineage 3,50,0.00702275
ER500_0219,2019-03-07,South,Lineage 3,52,0.00691102
ER500_0220,2019-03-14,West,Lineage 3,51,0.00718280
ER500_0221,2019-03-21,North,Lineage 3,47,0.00712649
ER500_0222,2019-03-28,Central,Lineage 3,55,0.00697952
ER500_0223,2019-04-04,South,Lineage 3,50,0.00713885
ER500_0224,2019-04-11,West,Lineage 3,49,0.00706890
ER500_0225,2019-04-18,North,Lineage 3,53,0.00728481
ER500_0226,2019-04-25,Central,Lineage 3,49,0.00722513
ER500_0227,2019-05-02,South,Lineage 3,55,0.00728384
ER500_0228,2019-05-09,West,Lineage 3,51,0.00716269
ER500_0229,2019-05-16,North,Lineage 3,53,0.00730234
ER500_0230,2019-05-23,Central,Lineage 3,52,0.00727203
ER500_0231,2019-05-30,South,Lineage 3,53,0.00731196
ER500_0232,2019-06-06,West,Lineage 3,54,0.00724850
ER500_0233,2019-06-13,North,Lineage 3,56,0.00740908
ER500_0234,2019-06-20,Central,Lineage 3,57,0.00726919
ER500_0235,2019-06-27,South,Lineage 3,54,0.00733774
ER500_0236,2019-07-04,West,Lineage 3,52,0.00744748
ER500_0237,2019-07-11,North,Lineage 3,56,0.00743313
ER500_0238,2019-07-18,Central,Lineage 3,53,0.00736984
ER500_0239,2019-07-25,South,Lineage 3,55,0.00757796
ER500_0240,2019-08-01,West,Lineage 3,52,0.00759470
ER500_0241,2019-08-08,North,Lineage 3,58,0.00743871
ER500_0242,2019-08-15,Central,Lineage 3,55,0.00756799
ER500_0243,2019-08-22,South,Lineage 3,57,0.00742414
ER500_0244,2019-08-29,West,Lineage 3,54,0.00768507
ER500_0245,2019-09-05,North,Lineage 3,58,0.00748306
ER500_0246,2019-09-12,Central,Lineage 3,59,0.00770373
ER500_0247,2019-09-19,South,Lineage 3,60,0.00753373
ER500_0248,2019-09-26,West,Lineage 3,59,0.00758798
ER500_0249,2019-10-03,North,Lineage 3,55,0.00769195
ER500_0250,2019-10-10,Central,Lineage 3,60,0.00763723
ER500_0251,2019-10-17,South,Lineage 3,55,0.00774007
ER500_0252,2019-10-24,West,Lineage 3,54,0.00783068
ER500_0253,2019-10-31,North,Lineage 3,60,0.00775410
ER500_0254,2019-11-07,Central,Lineage 3,61,0.00789150
ER500_0255,2019-11-14,South,Lineage 3,58,0.00798112
ER500_0256,2019-11-21,West,Lineage 3,56,0.00785048
ER500_0257,2019-11-28,North,Lineage 3,63,0.00793420
ER500_0258,2019-12-05,Central,Lineage 3,62,0.00776397
ER500_0259,2019-12-12,South,Lineage 3,59,0.00804691
ER500_0260,2019-12-19,West,Lineage 3,62,0.00801560
ER500_0261,2019-12-26,North,Lineage 3,57,0.00800478
ER500_0262,2020-01-02,Central,Lineage 3,63,0.00810668
ER500_0263,2020-01-09,South,Lineage 3,56,0.00794567
ER500_0264,2020-01-16,West,Lineage 3,59,0.00791469
ER500_0265,2020-01-23,North,Lineage 3,58,0.00799660
ER500_0266,2020-01-30,Central,Lineage 3,64,0.00797517
ER500_0267,2020-02-06,South,Lineage 3,63,0.00798883
ER500_0268,2020-02-13,West,Lineage 3,60,0.00811555
ER500_0269,2020-02-20,North,Lineage 3,61,0.00806848
ER500_0270,2020-02-27,Central,Lineage 3,59,0.00804686
ER500_0271,2020-03-05,South,Lineage 3,63,0.00829507
ER500_0272,2020-03-12,West,Lineage 3,59,0.00819219
ER500_0273,2020-03-19,North,Lineage 3,61,0.00839502
ER500_0274,2020-03-26,Central,Lineage 3,65,0.00820695
ER500_0275,2020-04-02,South,Lineage 3,60,0.00831230
ER500_0276,2020-04-09,West,Lineage 3,65,0.00822050
ER500_0277,2020-04-16,North,Lineage 3,61,0.00847344
ER500_0278,2020-04-23,Central,Lineage 3,64,0.00830385
ER500_0279,2020-04-30,South,Lineage 3,61,0.00845906
ER500_0280,2020-05-07,West,Lineage 3,67,0.00834309
ER500_0281,2020-05-14,North,Lineage 3,60,0.00854920
ER500_0282,2020-05-21,Central,Lineage 3,61,0.00847329
ER500_0283,2020-05-28,South,Lineage 3,63,0.00848447
ER500_0284,2020-06-04,West,Lineage 3,69,0.00850258
ER500_0285,2020-06-11,North,Lineage 3,62,0.00866037
ER500_0286,2020-06-18,Central,Lineage 3,66,0.00843100
ER500_0287,2020-06-25,South,Lineage 3,65,0.00854693
ER500_0288,2020-07-02,West,Lineage 3,65,0.00864385
ER500_0289,2020-07-09,North,Lineage 3,64,0.00860071
ER500_0290,2020-07-16,Central,Lineage 3,63,0.00873431
ER500_0291,2020-07-23,South,Lineage 3,66,0.00881162
ER500_0292,2020-07-30,West,Lineage 3,71,0.00878487
ER500_0293,2020-08-06,North,Lineage 3,63,0.00880148
ER500_0294,2020-08-13,Central,Lineage 3,66,0.00861239
ER500_0295,2020-08-20,South,Lineage 3,68,0.00876668
ER500_0296,2020-08-27,West,Lineage 3,65,0.00865638
ER500_0297,2020-09-03,North,Lineage 3,67,0.00883205
ER500_0298,2020-09-10,Central,Lineage 3,71,0.00876528
ER500_0299,2020-09-17,South,Lineage 3,69,0.00895817
ER500_0300,2020-09-24,West,Lineage 3,67,0.00901029
ER500_0301,2020-10-01,North,Lineage 4,69,0.00891925
ER500_0302,2020-10-08,Central,Lineage 4,70,0.00893164
ER500_0303,2020-10-15,South,Lineage 4,69,0.00884381
ER500_0304,2020-10-22,West,Lineage 4,73,0.00889679
ER500_0305,2020-10-29,North,Lineage 4,70,0.00908540
ER500_0306,2020-11-05,Central,Lineage 4,66,0.00892534
ER500_0307,2020-11-12,South,Lineage 4,69,0.00916539
ER500_0308,2020-11-19,West,Lineage 4,68,0.00911032
ER500_0309,2020-11-26,North,Lineage 4,68,0.00920521
ER500_0310,2020-12-03,Central,Lineage 4,73,0.00924063
ER500_0311,2020-12-10,South,Lineage 4,74,0.00924004
ER500_0312,2020-12-17,West,Lineage 4,70,0.00920414
ER500_0313,2020-12-24,North,Lineage 4,76,0.00908133
ER500_0314,2020-12-31,Central,Lineage 4,68,0.00912627
ER500_0315,2021-01-07,South,Lineage 4,68,0.00907020
ER500_0316,2021-01-14,West,Lineage 4,74,0.00917389
ER500_0317,2021-01-21,North,Lineage 4,76,0.00913887
ER500_0318,2021-01-28,Central,Lineage 4,74,0.00932848
ER500_0319,2021-02-04,South,Lineage 4,70,0.00937238
ER500_0320,2021-02-11,West,Lineage 4,76,0.00920953
ER500_0321,2021-02-18,North,Lineage 4,75,0.00933802
ER500_0322,2021-02-25,Central,Lineage 4,75,0.00930175
ER500_0323,2021-03-04,South,Lineage 4,75,0.00952421
ER500_0324,2021-03-11,West,Lineage 4,77,0.00931616
ER500_0325,2021-03-18,North,Lineage 4,72,0.00930624
ER500_0326,2021-03-25,Central,Lineage 4,75,0.00938985
ER500_0327,2021-04-01,South,Lineage 4,74,0.00943116
ER500_0328,2021-04-08,West,Lineage 4,73,0.00940395
ER500_0329,2021-04-15,North,Lineage 4,72,0.00968881
ER500_0330,2021-04-22,Central,Lineage 4,75,0.00957459
ER500_0331,2021-04-29,South,Lineage 4,75,0.00961131
ER500_0332,2021-05-06,West,Lineage 4,79,0.00954645
ER500_0333,2021-05-13,North,Lineage 4,79,0.00961816
ER500_0334,2021-05-20,Central,Lineage 4,76,0.00959364
ER500_0335,2021-05-27,South,Lineage 4,78,0.00979909
ER500_0336,2021-06-03,West,Lineage 4,80,0.00980767
ER500_0337,2021-06-10,North,Lineage 4,75,0.00960194
ER500_0338,2021-06-17,Central,Lineage 4,78,0.00982699
ER500_0339,2021-06-24,South,Lineage 4,76,0.00966769
ER500_0340,2021-07-01,West,Lineage 4,82,0.00993803
ER500_0341,2021-07-08,North,Lineage 4,77,0.00992984
ER500_0342,2021-07-15,Central,Lineage 4,80,0.00995227
ER500_0343,2021-07-22,South,Lineage 4,77,0.00987032
ER500_0344,2021-07-29,West,Lineage 4,76,0.00983902
ER500_0345,2021-08-05,North,Lineage 4,83,0.00999918
ER500_0346,2021-08-12,Central,Lineage 4,83,0.00986876
ER500_0347,2021-08-19,South,Lineage 4,82,0.01010014
ER500_0348,2021-08-26,West,Lineage 4,83,0.00989653
ER500_0349,2021-09-02,North,Lineage 4,78,0.01005927
ER500_0350,2021-09-09,Central,Lineage 4,78,0.00989017
ER500_0351,2021-09-16,South,Lineage 4,83,0.01016898
ER500_0352,2021-09-23,West,Lineage 4,80,0.00998307
ER500_0353,2021-09-30,North,Lineage 4,79,0.00997446
ER500_0354,2021-10-07,Central,Lineage 4,81,0.01020614
ER500_0355,2021-10-14,South,Lineage 4,85,0.01020480
ER500_0356,2021-10-21,West,Lineage 4,85,0.01012862
ER500_0357,2021-10-28,North,Lineage 4,83,0.01010599
ER500_0358,2021-11-04,Central,Lineage 4,81,0.01021253
ER500_0359,2021-11-11,South,Lineage 4,80,0.01026791
ER500_0360,2021-11-18,West,Lineage 4,83,0.01016031
ER500_0361,2021-11-25,North,Lineage 4,87,0.01041261
ER500_0362,2021-12-02,Central,Lineage 4,81,0.01041046
ER500_0363,2021-12-09,South,Lineage 4,81,0.01028593
ER500_0364,2021-12-16,West,Lineage 4,81,0.01041080
ER500_0365,2021-12-23,North,Lineage 4,87,0.01046984
ER500_0366,2021-12-30,Central,Lineage 4,87,0.01027406
ER500_0367,2022-01-06,South,Lineage 4,80,0.01030747
ER500_0368,2022-01-13,West,Lineage 4,85,0.01049545
ER500_0369,2022-01-20,North,Lineage 4,84,0.01040815
ER500_0370,2022-01-27,Central,Lineage 4,83,0.01048699
ER500_0371,2022-02-03,South,Lineage 4,87,0.01047463
ER500_0372,2022-02-10,West,Lineage 4,84,0.01065817
ER500_0373,2022-02-17,North,Lineage 4,89,0.01066970
ER500_0374,2022-02-24,Central,Lineage 4,82,0.01054772
ER500_0375,2022-03-03,South,Lineage 4,86,0.01071421
ER500_0376,2022-03-10,West,Lineage 4,87,0.01058613
ER500_0377,2022-03-17,North,Lineage 4,85,0.01058400
ER500_0378,2022-03-24,Central,Lineage 4,86,0.01074358
ER500_0379,2022-03-31,South,Lineage 4,89,0.01074763
ER500_0380,2022-04-07,West,Lineage 4,85,0.01079311
ER500_0381,2022-04-14,North,Lineage 4,86,0.01086223
ER500_0382,2022-04-21,Central,Lineage 4,92,0.01069349
ER500_0383,2022-04-28,South,Lineage 4,87,0.01071968
ER500_0384,2022-05-05,West,Lineage 4,84,0.01087169
ER500_0385,2022-05-12,North,Lineage 4,90,0.01071028
ER500_0386,2022-05-19,Central,Lineage 4,92,0.01075952
ER500_0387,2022-05-26,South,Lineage 4,86,0.01094598
ER500_0388,2022-06-02,West,Lineage 4,90,0.01091412
ER500_0389,2022-06-09,North,Lineage 4,88,0.01096064
ER500_0390,2022-06-16,Central,Lineage 4,86,0.01092712
ER500_0391,2022-06-23,South,Lineage 4,87,0.01107917
ER500_0392,2022-06-30,West,Lineage 4,94,0.01100195
ER500_0393,2022-07-07,North,Lineage 4,92,0.01092298
ER500_0394,2022-07-14,Central,Lineage 4,89,0.01105419
ER500_0395,2022-07-21,South,Lineage 4,87,0.01109387
ER500_0396,2022-07-28,West,Lineage 4,94,0.01116449
ER500_0397,2022-08-04,North,Lineage 4,95,0.01125345
ER500_0398,2022-08-11,Central,Lineage 4,90,0.01098884
ER500_0399,2022-08-18,South,Lineage 4,95,0.01109042
ER500_0400,2022-08-25,West,Lineage 4,96,0.01120589
ER500_0401,2022-09-01,North,Lineage 5,89,0.01114280
ER500_0402,2022-09-08,Central,Lineage 5,94,0.01115589
ER500_0403,2022-09-15,South,Lineage 5,91,0.01111732
ER500_0404,2022-09-22,West,Lineage 5,92,0.01130110
ER500_0405,2022-09-29,North,Lineage 5,91,0.01122320
ER500_0406,2022-10-06,Central,Lineage 5,92,0.01121218
ER500_0407,2022-10-13,South,Lineage 5,90,0.01131243
ER500_0408,2022-10-20,West,Lineage 5,94,0.01126046
ER500_0409,2022-10-27,North,Lineage 5,94,0.01139383
ER500_0410,2022-11-03,Central,Lineage 5,97,0.01127055
ER500_0411,2022-11-10,South,Lineage 5,96,0.01146296
ER500_0412,2022-11-17,West,Lineage 5,96,0.01146315
ER500_0413,2022-11-24,North,Lineage 5,95,0.01136522
ER500_0414,2022-12-01,Central,Lineage 5,92,0.01149265
ER500_0415,2022-12-08,South,Lineage 5,96,0.01148417
ER500_0416,2022-12-15,West,Lineage 5,94,0.01155930
ER500_0417,2022-12-22,North,Lineage 5,99,0.01152234
ER500_0418,2022-12-29,Central,Lineage 5,94,0.01155047
ER500_0419,2023-01-05,South,Lineage 5,99,0.01161680
ER500_0420,2023-01-12,West,Lineage 5,99,0.01174092
ER500_0421,2023-01-19,North,Lineage 5,101,0.01170642
ER500_0422,2023-01-26,Central,Lineage 5,100,0.01175656
ER500_0423,2023-02-02,South,Lineage 5,94,0.01174333
ER500_0424,2023-02-09,West,Lineage 5,100,0.01178151
ER500_0425,2023-02-16,North,Lineage 5,99,0.01181553
ER500_0426,2023-02-23,Central,Lineage 5,95,0.01166310
ER500_0427,2023-03-02,South,Lineage 5,96,0.01192292
ER500_0428,2023-03-09,West,Lineage 5,97,0.01174450
ER500_0429,2023-03-16,North,Lineage 5,102,0.01182396
ER500_0430,2023-03-23,Central,Lineage 5,101,0.01182968
ER500_0431,2023-03-30,South,Lineage 5,101,0.01174510
ER500_0432,2023-04-06,West,Lineage 5,101,0.01196038
ER500_0433,2023-04-13,North,Lineage 5,102,0.01182025
ER500_0434,2023-04-20,Central,Lineage 5,98,0.01185978
ER500_0435,2023-04-27,South,Lineage 5,102,0.01210228
ER500_0436,2023-05-04,West,Lineage 5,101,0.01197258
ER500_0437,2023-05-11,North,Lineage 5,102,0.01206406
ER500_0438,2023-05-18,Central,Lineage 5,104,0.01190609
ER500_0439,2023-05-25,South,Lineage 5,104,0.01218089
ER500_0440,2023-06-01,West,Lineage 5,102,0.01205215
ER500_0441,2023-06-08,North,Lineage 5,99,0.01216176
ER500_0442,2023-06-15,Central,Lineage 5,100,0.01224449
ER500_0443,2023-06-22,South,Lineage 5,104,0.01217143
ER500_0444,2023-06-29,West,Lineage 5,101,0.01218115
ER500_0445,2023-07-06,North,Lineage 5,104,0.01236074
