source,target,distance
SG00331,SG00332,6.000
SG00332,SG00333,7.000
SG00333,SG00334,8.000
SG00334,SG00335,9.000
SG00335,SG00336,10.000
SG00336,SG00337,11.000
SG00337,SG00338,4.000
SG00338,SG00339,5.000
SG00339,SG00340,6.000
SG00340,SG00341,7.000
SG00341,SG00342,8.000
SG00342,SG00343,9.000
SG00343,SG00344,10.000
SG00344,SG00345,11.000
SG00345,SG00346,4.000
SG00346,SG00347,5.000
SG00347,SG00348,6.000
SG00348,SG00349,7.000
SG00349,SG00350,8.000
SG00350,SG00351,9.000
SG00351,SG00352,10.000
SG00352,SG00353,11.000
SG00353,SG00354,4.000
SG00354,SG00355,5.000
SG00355,SG00356,6.000
SG00356,SG00357,7.000
SG00357,SG00358,8.000
SG00358,SG00359,9.000
SG00359,SG00360,10.000
SG00360,SG00361,11.000
SG00361,SG00362,4.000
SG00362,SG00363,5.000
SG00363,SG00364,6.000
SG00364,SG00365,7.000
SG00365,SG00366,8.000
SG00366,SG00367,9.000
SG00367,SG00368,10.000
SG00368,SG00369,11.000
SG00369,SG00370,4.000
SG00370,SG00371,5.000
SG00371,SG00372,6.000
SG00372,SG00373,7.000
SG00373,SG00374,8.000
SG00374,SG00375,9.000
SG00375,SG00376,10.000
SG00376,SG00377,11.000
SG00377,SG00378,4.000
SG00378,SG00379,5.000
SG00379,SG00380,6.000
SG00380,SG00381,7.000
SG00381,SG00382,8.000
SG00382,SG00383,9.000
SG00383,SG00384,10.000
SG00384,SG00385,11.000
SG00385,SG00386,4.000
SG00386,SG00387,5.000
SG00387,SG00388,6.000
SG00388,SG00389,7.000
SG00389,SG00390,8.000
SG00390,SG00391,9.000
SG00391,SG00392,10.000
SG00392,SG00393,11.000
SG00393,SG00394,4.000
SG00394,SG00395,5.000
SG00395,SG00396,6.000
SG00396,SG00397,7.000
SG00397,SG00398,8.000
SG00398,SG00399,9.000
SG00399,SG00400,10.000
SG00400,SG00401,11.000
SG00401,SG00402,4.000
SG00402,SG00403,5.000
SG00403,SG00404,6.000
SG00404,SG00405,7.000
SG00405,SG00406,8.000
SG00406,SG00407,9.000
SG00407,SG00408,10.000
SG00408,SG00409,11.000
SG00409,SG00410,4.000
SG00410,SG00411,5.000
SG00411,SG00412,6.000
SG00412,SG00413,7.000
SG00413,SG00414,8.000
SG00414,SG00415,9.000
SG00415,SG00416,10.000
SG00416,SG00417,11.000
SG00417,SG00418,4.000
SG00418,SG00419,5.000
SG00419,SG00420,6.000
SG00420,SG00421,7.000
SG00421,SG00422,8.000
SG00422,SG00423,9.000
SG00423,SG00424,10.000
SG00424,SG00425,11.000
SG00425,SG00426,4.000
SG00426,SG00427,5.000
SG00427,SG00428,6.000
SG00428,SG00429,7.000
SG00429,SG00430,8.000
SG00430,SG00431,9.000
SG00431,SG00432,10.000
SG00432,SG00433,11.000
SG00433,SG00434,4.000
SG00434,SG00435,5.000
SG00435,SG00436,6.000
SG00436,SG00437,7.000
SG00437,SG00438,8.000
SG00438,SG00439,9.000
SG00439,SG00440,10.000
SG00440,SG00441,11.000
SG00441,SG00442,4.000
SG00442,SG00443,5.000
SG00443,SG00444,6.000
SG00444,SG00445,7.000
SG00445,SG00446,8.000
SG00446,SG00447,9.000
SG00447,SG00448,10.000
SG00448,SG00449,11.000
SG00449,SG00450,4.000
SG00450,SG00451,5.000
SG00451,SG00452,6.000
SG00452,SG00453,7.000
SG00453,SG00454,8.000
SG00454,SG00455,9.000
SG00455,SG00456,10.000
SG00456,SG00457,11.000
SG00457,SG00458,4.000
SG00458,SG00459,5.000
SG00459,SG00460,6.000
SG00460,SG00461,7.000
SG00461,SG00462,8.000
SG00462,SG00463,9.000
SG00463,SG00464,10.000
SG00464,SG00465,11.000
SG00465,SG00466,4.000
SG00466,SG00467,5.000
SG00467,SG00468,6.000
SG00468,SG00469,7.000
SG00469,SG00470,8.000
SG00470,SG00471,9.000
SG00471,SG00472,10.000
SG00472,SG00473,11.000
SG00473,SG00474,4.000
SG00474,SG00475,5.000
SG00475,SG00476,6.000
SG00476,SG00477,7.000
SG00477,SG00478,8.000
SG00478,SG00479,9.000
SG00479,SG00480,10.000
SG00480,SG00481,11.000
SG00481,SG00482,4.000
SG00482,SG00483,5.000
SG00483,SG00484,6.000
SG00484,SG00485,7.000
SG00485,SG00486,8.000
SG00486,SG00487,9.000
SG00487,SG00488,10.000
SG00488,SG00489,11.000
SG00489,SG00490,4.000
SG00490,SG00491,5.000
SG00491,SG00492,6.000
SG00492,SG00493,7.000
SG00493,SG00494,8.000
SG00494,SG00495,9.000
SG00495,SG00496,10.000
SG00496,SG00497,11.000
SG00497,SG00498,4.000
SG00498,SG00499,5.000
SG00499,SG00500,6.000
SG00500,SG00501,7.000
SG00501,SG00502,8.000
SG00502,SG00503,9.000
SG00503,SG00504,10.000
SG00504,SG00505,11.000
SG00505,SG00506,4.000
SG00506,SG00507,5.000
SG00507,SG00508,6.000
SG00508,SG00509,7.000
SG00509,SG00510,8.000
SG00510,SG00511,9.000
SG00511,SG00512,10.000
SG00512,SG00513,11.000
SG00513,SG00514,4.000
SG00514,SG00515,5.000
SG00515,SG00516,6.000
SG00516,SG00517,7.000
SG00517,SG00518,8.000
SG00518,SG00519,9.000
SG00519,SG00520,10.000
SG00520,SG00521,11.000
SG00521,SG00522,4.000
SG00522,SG00523,5.000
SG00523,SG00524,6.000
SG00524,SG00525,7.000
SG00525,SG00526,8.000
SG00526,SG00527,9.000
SG00527,SG00528,10.000
SG00528,SG00529,11.000
SG00529,SG00530,4.000
SG00530,SG00531,5.000
SG00531,SG00532,6.000
SG00532,SG00533,7.000
SG00533,SG00534,8.000
SG00534,SG00535,9.000
SG00535,SG00536,10.000
SG00536,SG00537,11.000
SG00537,SG00538,4.000
SG00538,SG00539,5.000
SG00539,SG00540,6.000
SG00540,SG00541,7.000
SG00541,SG00542,8.000
SG00542,SG00543,9.000
SG00543,SG00544,10.000
SG00544,SG00545,11.000
SG00545,SG00546,4.000
SG00546,SG00547,5.000
SG00547,SG00548,6.000
SG00548,SG00549,7.000
SG00549,SG00550,8.000
SG00550,SG00551,9.000
SG00551,SG00552,10.000
SG00552,SG00553,11.000
SG00553,SG00554,4.000
SG00554,SG00555,5.000
SG00555,SG00556,6.000
SG00556,SG00557,7.000
SG00557,SG00558,8.000
SG00558,SG00559,9.000
SG00559,SG00560,10.000
SG00560,SG00561,11.000
SG00561,SG00562,4.000
SG00562,SG00563,5.000
SG00563,SG00564,6.000
SG00564,SG00565,7.000
SG00565,SG00566,8.000
SG00566,SG00567,9.000
SG00567,SG00568,10.000
SG00568,SG00569,11.000
SG00569,SG00570,4.000
SG00570,SG00571,5.000
SG00571,SG00572,6.000
SG00572,SG00573,7.000
SG00573,SG00574,8.000
SG00574,SG00575,9.000
SG00575,SG00576,10.000
SG00576,SG00577,11.000
SG00577,SG00578,4.000
SG00578,SG00579,5.000
SG00579,SG00580,6.000
SG00580,SG00581,7.000
SG00581,SG00582,8.000
SG00582,SG00583,9.000
SG00583,SG00584,10.000
SG00584,SG00585,11.000
SG00585,SG00586,4.000
SG00586,SG00587,5.000
SG00587,SG00588,6.000
SG00588,SG00589,7.000
SG00589,SG00590,8.000
SG00590,SG00591,9.000
SG00591,SG00592,10.000
SG00592,SG00593,11.000
SG00593,SG00594,4.000
SG00594,SG00595,5.000
SG00595,SG00596,6.000
SG00596,SG00597,7.000
SG00597,SG00598,8.000
SG00598,SG00599,9.000
SG00599,SG00600,10.000
SG00600,SG00601,11.000
SG00601,SG00602,4.000
SG00602,SG00603,5.000
SG00603,SG00604,6.000
SG00604,SG00605,7.000
SG00605,SG00606,8.000
SG00606,SG00607,9.000
SG00607,SG00608,10.000
SG00608,SG00609,11.000
SG00609,SG00610,4.000
SG00610,SG00611,5.000
SG00611,SG00612,6.000
SG00612,SG00613,7.000
SG00613,SG00614,8.000
SG00614,SG00615,9.000
SG00615,SG00616,10.000
SG00616,SG00617,11.000
SG00617,SG00618,4.000
SG00618,SG00619,5.000
SG00619,SG00620,6.000
SG00620,SG00621,7.000
SG00621,SG00622,8.000
SG00622,SG00623,9.000
SG00623,SG00624,10.000
SG00624,SG00625,11.000
SG00625,SG00626,4.000
SG00626,SG00627,5.000
SG00627,SG00628,6.000
SG00628,SG00629,7.000
SG00629,SG00630,8.000
SG00630,SG00631,9.000
SG00631,SG00632,10.000
SG00632,SG00633,11.000
SG00633,SG00634,4.000
SG00634,SG00635,5.000
SG00635,SG00636,6.000
SG00636,SG00637,7.000
SG00637,SG00638,8.000
SG00638,SG00639,9.000
SG00639,SG00640,10.000
SG00640,SG00641,11.000
SG00641,SG00642,4.000
SG00642,SG00643,5.000
SG00643,SG00644,6.000
SG00644,SG00645,7.000
SG00645,SG00646,8.000
SG00646,SG00647,9.000
SG00647,SG00648,10.000
SG00648,SG00649,11.000
SG00649,SG00650,4.000
SG00650,SG00651,5.000
SG00651,SG00652,6.000
SG00652,SG00653,7.000
SG00653,SG00654,8.000
SG00654,SG00655,9.000
SG00655,SG00656,10.000
SG00656,SG00657,11.000
SG00657,SG00658,4.000
SG00658,SG00659,5.000
SG00659,SG00660,6.000
SG00660,SG00661,7.000
SG00661,SG00662,8.000
SG00662,SG00663,9.000
SG00663,SG00664,10.000
SG00664,SG00665,11.000
SG00665,SG00666,4.000
SG00666,SG00667,5.000
SG00667,SG00668,6.000
SG00668,SG00669,7.000
SG00669,SG00670,8.000
SG00670,SG00671,9.000
SG00671,SG00672,10.000
SG00672,SG00673,11.000
SG00673,SG00674,4.000
SG00674,SG00675,5.000
SG00675,SG00676,6.000
SG00676,SG00677,7.000
SG00677,SG00678,8.000
SG00678,SG00679,9.000
SG00679,SG00680,10.000
SG00680,SG00681,11.000
SG00681,SG00682,4.000
SG00682,SG00683,5.000
SG00683,SG00684,6.000
SG00684,SG00685,7.000
SG00685,SG00686,8.000
SG00686,SG00687,9.000
SG00687,SG00688,10.000
SG00688,SG00689,11.000
SG00689,SG00690,4.000
SG00690,SG00691,5.000
SG00691,SG00692,6.000
SG00692,SG00693,7.000
SG00693,SG00694,8.000
SG00694,SG00695,9.000
SG00695,SG00696,10.000
SG00696,SG00697,11.000
SG00697,SG00698,4.000
SG00698,SG00699,5.000
SG00699,SG00700,6.000
SG00700,SG00701,7.000
SG00701,SG00702,8.000
SG00702,SG00703,9.000
SG00703,SG00704,10.000
SG00704,SG00705,11.000
SG00705,SG00706,4.000
SG00706,SG00707,5.000
SG00707,SG00708,6.000
SG00708,SG00709,7.000
SG00709,SG00710,8.000
SG00710,SG00711,9.000
SG00711,SG00712,10.000
SG00712,SG00713,11.000
SG00713,SG00714,4.000
SG00714,SG00715,5.000
SG00715,SG00716,6.000
SG00716,SG00717,7.000
SG00717,SG00718,8.000
SG00718,SG00719,9.000
SG00719,SG00720,10.000
SG00720,SG00721,11.000
SG00721,SG00722,4.000
SG00722,SG00723,5.000
SG00723,SG00724,6.000
SG00724,SG00725,7.000
SG00725,SG00726,8.000
SG00726,SG00727,9.000
SG00727,SG00728,10.000
SG00728,SG00729,11.000
SG00729,SG00730,4.000
SG00730,SG00731,5.000
SG00731,SG00732,6.000
SG00732,SG00733,7.000
SG00733,SG00734,8.000
SG00734,SG00735,9.000
SG00735,SG00736,10.000
SG00736,SG00737,11.000
SG00737,SG00738,4.000
SG00738,SG00739,5.000
SG00739,SG00740,6.000
SG00740,SG00741,7.000
SG00741,SG00742,8.000
SG00742,SG00743,9.000
SG00743,SG00744,10.000
SG00744,SG00745,11.000
SG00745,SG00746,4.000
SG00746,SG00747,5.000
SG00747,SG00748,6.000
SG00748,SG00749,7.000
SG00749,SG00750,8.000
SG00750,SG00751,9.000
SG00751,SG00752,10.000
SG00752,SG00753,11.000
SG00753,SG00754,4.000
SG00754,SG00755,5.000
SG00755,SG00756,6.000
SG00756,SG00757,7.000
SG00757,SG00758,8.000
SG00758,SG00759,9.000
SG00759,SG00760,10.000
SG00760,SG00761,11.000
SG00761,SG00762,4.000
SG00762,SG00763,5.000
SG00763,SG00764,6.000
SG00764,SG00765,7.000
SG00765,SG00766,8.000
SG00766,SG00767,9.000
SG00767,SG00768,10.000
SG00768,SG00769,11.000
SG00769,SG00770,4.000
SG00770,SG00771,5.000
SG00771,SG00772,6.000
SG00772,SG00773,7.000
SG00773,SG00774,8.000
SG00774,SG00775,9.000
SG00775,SG00776,10.000
SG00776,SG00777,11.000
SG00777,SG00778,4.000
SG00778,SG00779,5.000
SG00779,SG00780,6.000
SG00780,SG00781,7.000
SG00781,SG00782,8.000
SG00782,SG00783,9.000
SG00783,SG00784,10.000
SG00784,SG00785,11.000
SG00785,SG00786,4.000
SG00786,SG00787,5.000
SG00787,SG00788,6.000
SG00788,SG00789,7.000
SG00789,SG00790,8.000
SG00790,SG00791,9.000
SG00791,SG00792,10.000
SG00792,SG00793,11.000
SG00793,SG00794,4.000
SG00794,SG00795,5.000
SG00795,SG00796,6.000
SG00796,SG00797,7.000
SG00797,SG00798,8.000
SG00798,SG00799,9.000
SG00799,SG00800,10.000
SG00800,SG00801,11.000
SG00801,SG00802,4.000
SG00802,SG00803,5.000
SG00803,SG00804,6.000
SG00804,SG00805,7.000
SG00805,SG00806,8.000
SG00806,SG00807,9.000
SG00807,SG00808,10.000
SG00808,SG00809,11.000
SG00809,SG00810,4.000
SG00810,SG00811,5.000
SG00811,SG00812,6.000
SG00812,SG00813,7.000
SG00813,SG00814,8.000
SG00814,SG00815,9.000
SG00815,SG00816,10.000
SG00816,SG00817,11.000
SG00817,SG00818,4.000
SG00818,SG00819,5.000
SG00819,SG00820,6.000
SG00820,SG00821,7.000
SG00821,SG00822,8.000
SG00822,SG00823,9.000
SG00823,SG00824,10.000
SG00824,SG00825,11.000
SG00825,SG00826,4.000
SG00826,SG00827,5.000
SG00827,SG00828,6.000
SG00828,SG00829,7.000
SG00829,SG00830,8.000
SG00830,SG00831,9.000
SG00831,SG00832,10.000
SG00832,SG00833,11.000
SG00833,SG00834,4.000
SG00834,SG00835,5.000
SG00835,SG00836,6.000
SG00836,SG00837,7.000
SG00837,SG00838,8.000
SG00838,SG00839,9.000
SG00839,SG00840,10.000
SG00840,SG00841,11.000
SG00841,SG00842,4.000
SG00842,SG00843,5.000
SG00843,SG00844,6.000
SG00844,SG00845,7.000
SG00845,SG00846,8.000
SG00846,SG00847,9.000
SG00847,SG00848,10.000
SG00848,SG00849,11.000
SG00849,SG00850,4.000
SG00850,SG00851,5.000
SG00851,SG00852,6.000
SG00852,SG00853,7.000
SG00853,SG00854,8.000
SG00854,SG00855,9.000
SG00855,SG00856,10.000
SG00856,SG00857,11.000
SG00857,SG00858,4.000
SG00858,SG00859,5.000
SG00859,SG00860,6.000
SG00860,SG00861,7.000
SG00861,SG00862,8.000
SG00862,SG00863,9.000
SG00863,SG00864,10.000
SG00864,SG00865,11.000
SG00865,SG00866,4.000
SG00866,SG00867,5.000
SG00867,SG00868,6.000
SG00868,SG00869,7.000
SG00869,SG00870,8.000
SG00870,SG00871,9.000
SG00871,SG00872,10.000
SG00872,SG00873,11.000
SG00873,SG00874,4.000
SG00874,SG00875,5.000
SG00875,SG00876,6.000
SG00876,SG00877,7.000
SG00877,SG00878,8.000
SG00878,SG00879,9.000
SG00879,SG00880,10.000
SG00880,SG00881,11.000
SG00881,SG00882,4.000
SG00882,SG00883,5.000
SG00883,SG00884,6.000
SG00884,SG00885,7.000
SG00885,SG00886,8.000
SG00886,SG00887,9.000
SG00887,SG00888,10.000
SG00888,SG00889,11.000
SG00889,SG00890,4.000
SG00890,SG00891,5.000
SG00891,SG00892,6.000
SG00892,SG00893,7.000
SG00893,SG00894,8.000
SG00894,SG00895,9.000
SG00895,SG00896,10.000
SG00896,SG00897,11.000
SG00897,SG00898,4.000
SG00898,SG00899,5.000
SG00899,SG00900,6.000
SG00900,SG00901,7.000
SG00901,SG00902,8.000
SG00902,SG00903,9.000
SG00903,SG00904,10.000
SG00904,SG00905,11.000
SG00905,SG00906,4.000
SG00906,SG00907,5.000
SG00907,SG00908,6.000
SG00908,SG00909,7.000
SG00909,SG00910,8.000
SG00910,SG00911,9.000
SG00911,SG00912,10.000
SG00912,SG00913,11.000
SG00913,SG00914,4.000
SG00914,SG00915,5.000
SG00915,SG00916,6.000
SG00916,SG00917,7.000
SG00917,SG00918,8.000
SG00918,SG00919,9.000
SG00919,SG00920,10.000
SG00920,SG00921,11.000
SG00921,SG00922,4.000
SG00922,SG00923,5.000
SG00923,SG00924,6.000
SG00924,SG00925,7.000
SG00925,SG00926,8.000
SG00926,SG00927,9.000
SG00927,SG00928,10.000
SG00928,SG00929,11.000
SG00929,SG00930,4.000
SG00930,SG00931,5.000
SG00931,SG00932,6.000
SG00932,SG00933,7.000
SG00933,SG00934,8.000
SG00934,SG00935,9.000
SG00935,SG00936,10.000
SG00936,SG00937,11.000
SG00937,SG00938,4.000
SG00938,SG00939,5.000
SG00939,SG00940,6.000
SG00940,SG00941,7.000
SG00941,SG00942,8.000
SG00942,SG00943,9.000
SG00943,SG00944,10.000
SG00944,SG00945,11.000
SG00945,SG00946,4.000
SG00946,SG00947,5.000
SG00947,SG00948,6.000
SG00948,SG00949,7.000
SG00949,SG00950,8.000
SG00950,SG00951,9.000
SG00951,SG00952,10.000
SG00952,SG00953,11.000
SG00953,SG00954,4.000
SG00954,SG00955,5.000
SG00955,SG00956,6.000
SG00956,SG00957,7.000
SG00957,SG00958,8.000
SG00958,SG00959,9.000
SG00959,SG00960,10.000
SG00960,SG00961,11.000
SG00961,SG00962,4.000
SG00962,SG00963,5.000
SG00963,SG00964,6.000
SG00964,SG00965,7.000
SG00965,SG00966,8.000
SG00966,SG00967,9.000
SG00967,SG00968,10.000
SG00968,SG00969,11.000
SG00969,SG00970,4.000
SG00970,SG00971,5.000
SG00971,SG00972,6.000
SG00972,SG00973,7.000
SG00973,SG00974,8.000
SG00974,SG00975,9.000
SG00975,SG00976,10.000
SG00976,SG00977,11.000
SG00977,SG00978,4.000
SG00978,SG00979,5.000
SG00979,SG00980,6.000
SG00980,SG00981,7.000
SG00981,SG00982,8.000
SG00982,SG00983,9.000
SG00983,SG00984,10.000
SG00984,SG00985,11.000
SG00985,SG00986,4.000
SG00986,SG00987,5.000
SG00987,SG00988,6.000
SG00988,SG00989,7.000
SG00989,SG00990,8.000
SG00990,SG00991,9.000
SG00991,SG00992,10.000
SG00992,SG00993,11.000
SG00993,SG00994,4.000
SG00994,SG00995,5.000
SG00995,SG00996,6.000
SG00996,SG00997,7.000
SG00997,SG00998,8.000
SG00998,SG00999,9.000
SG00999,SG01000,10.000
