source,target,distance
P0893,P0894,8.000
P0894,P0895,9.000
P0895,P0896,10.000
P0896,P0897,11.000
P0897,P0898,4.000
P0898,P0899,5.000
P0899,P0900,6.000
P0900,P0901,7.000
P0901,P0902,8.000
P0902,P0903,9.000
P0903,P0904,10.000
P0904,P0905,11.000
P0905,P0906,4.000
P0906,P0907,5.000
P0907,P0908,6.000
P0908,P0909,7.000
P0909,P0910,8.000
P0910,P0911,9.000
P0911,P0912,10.000
P0912,P0913,11.000
P0913,P0914,4.000
P0914,P0915,5.000
P0915,P0916,6.000
P0916,P0917,7.000
P0917,P0918,8.000
P0918,P0919,9.000
P0919,P0920,10.000
P0920,P0921,11.000
P0921,P0922,4.000
P0922,P0923,5.000
P0923,P0924,6.000
P0924,P0925,7.000
P0925,P0926,8.000
P0926,P0927,9.000
P0927,P0928,10.000
P0928,P0929,11.000
P0929,P0930,4.000
P0930,P0931,5.000
P0931,P0932,6.000
P0932,P0933,7.000
P0933,P0934,8.000
P0934,P0935,9.000
P0935,P0936,10.000
P0936,P0937,11.000
P0937,P0938,4.000
P0938,P0939,5.000
P0939,P0940,6.000
P0940,P0941,7.000
P0941,P0942,8.000
P0942,P0943,9.000
P0943,P0944,10.000
P0944,P0945,11.000
P0945,P0946,4.000
P0946,P0947,5.000
P0947,P0948,6.000
P0948,P0949,7.000
P0949,P0950,8.000
P0950,P0951,9.000
P0951,P0952,10.000
P0952,P0953,11.000
P0953,P0954,4.000
P0954,P0955,5.000
P0955,P0956,6.000
P0956,P0957,7.000
P0957,P0958,8.000
P0958,P0959,9.000
P0959,P0960,10.000
P0960,P0961,11.000
P0961,P0962,4.000
P0962,P0963,5.000
P0963,P0964,6.000
P0964,P0965,7.000
P0965,P0966,8.000
P0966,P0967,9.000
P0967,P0968,10.000
P0968,P0969,11.000
P0969,P0970,4.000
P0970,P0971,5.000
P0971,P0972,6.000
P0972,P0973,7.000
P0973,P0974,8.000
P0974,P0975,9.000
P0975,P0976,10.000
P0976,P0977,11.000
P0977,P0978,4.000
P0978,P0979,5.000
P0979,P0980,6.000
P0980,P0981,7.000
P0981,P0982,8.000
P0982,P0983,9.000
P0983,P0984,10.000
P0984,P0985,11.000
P0985,P0986,4.000
P0986,P0987,5.000
P0987,P0988,6.000
P0988,P0989,7.000
P0989,P0990,8.000
P0990,P0991,9.000
P0991,P0992,10.000
P0992,P0993,11.000
P0993,P0994,4.000
P0994,P0995,5.000
P0995,P0996,6.000
P0996,P0997,7.000
P0997,P0998,8.000
P0998,P0999,9.000
P0999,P1000,10.000
P1000,P1001,11.000
P1001,P1002,4.000
P1002,P1003,5.000
P1003,P1004,6.000
P1004,P1005,7.000
P1005,P1006,8.000
P1006,P1007,9.000
P1007,P1008,10.000
P1008,P1009,11.000
P1009,P1010,4.000
P1010,P1011,5.000
P1011,P1012,6.000
P1012,P1013,7.000
P1013,P1014,8.000
P1014,P1015,9.000
P1015,P1016,10.000
P1016,P1017,11.000
P1017,P1018,4.000
P1018,P1019,5.000
P1019,P1020,6.000
P1020,P1021,7.000
P1021,P1022,8.000
P1022,P1023,9.000
P1023,P1024,10.000
P1024,P1025,11.000
P1025,P1026,4.000
P1026,P1027,5.000
P1027,P1028,6.000
P1028,P1029,7.000
P1029,P1030,8.000
P1030,P1031,9.000
P1031,P1032,10.000
P1032,P1033,11.000
P1033,P1034,4.000
P1034,P1035,5.000
P1035,P1036,6.000
P1036,P1037,7.000
P1037,P1038,8.000
P1038,P1039,9.000
P1039,P1040,10.000
P1040,P1041,11.000
P1041,P1042,4.000
P1042,P1043,5.000
P1043,P1044,6.000
P1044,P1045,7.000
P1045,P1046,8.000
P1046,P1047,9.000
P1047,P1048,10.000
P1048,P1049,11.000
P1049,P1050,4.000
P1050,P1051,5.000
P1051,P1052,6.000
P1052,P1053,7.000
P1053,P1054,8.000
P1054,P1055,9.000
P1055,P1056,10.000
P1056,P1057,11.000
P1057,P1058,4.000
P1058,P1059,5.000
P1059,P1060,6.000
P1060,P1061,7.000
P1061,P1062,8.000
P1062,P1063,9.000
P1063,P1064,10.000
P1064,P1065,11.000
P1065,P1066,4.000
P1066,P1067,5.000
P1067,P1068,6.000
P1068,P1069,7.000
P1069,P1070,8.000
P1070,P1071,9.000
P1071,P1072,10.000
P1072,P1073,11.000
P1073,P1074,4.000
P1074,P1075,5.000
P1075,P1076,6.000
P1076,P1077,7.000
P1077,P1078,8.000
P1078,P1079,9.000
P1079,P1080,10.000
P1080,P1081,11.000
P1081,P1082,4.000
P1082,P1083,5.000
P1083,P1084,6.000
P1084,P1085,7.000
P1085,P1086,8.000
P1086,P1087,9.000
P1087,P1088,10.000
P1088,P1089,11.000
P1089,P1090,4.000
P1090,P1091,5.000
P1091,P1092,6.000
P1092,P1093,7.000
P1093,P1094,8.000
P1094,P1095,9.000
P1095,P1096,10.000
P1096,P1097,11.000
P1097,P1098,4.000
P1098,P1099,5.000
P1099,P1100,6.000
P1100,P1101,7.000
P1101,P1102,8.000
P1102,P1103,9.000
P1103,P1104,10.000
P1104,P1105,11.000
P1105,P1106,4.000
P1106,P1107,5.000
P1107,P1108,6.000
P1108,P1109,7.000
P1109,P1110,8.000
P1110,P1111,9.000
P1111,P1112,10.000
P1112,P1113,11.000
P1113,P1114,4.000
P1114,P1115,5.000
P1115,P1116,6.000
P1116,P1117,7.000
P1117,P1118,8.000
P1118,P1119,9.000
P1119,P1120,10.000
P1120,P1121,11.000
P1121,P1122,4.000
P1122,P1123,5.000
P1123,P1124,6.000
P1124,P1125,7.000
P1125,P1126,8.000
P1126,P1127,9.000
P1127,P1128,10.000
P1128,P1129,11.000
P1129,P1130,4.000
P1130,P1131,5.000
P1131,P1132,6.000
P1132,P1133,7.000
P1133,P1134,8.000
P1134,P1135,9.000
P1135,P1136,10.000
P1136,P1137,11.000
P1137,P1138,4.000
P1138,P1139,5.000
P1139,P1140,6.000
P1140,P1141,7.000
P1141,P1142,8.000
P1142,P1143,9.000
P1143,P1144,10.000
P1144,P1145,11.000
P1145,P1146,4.000
P1146,P1147,5.000
P1147,P1148,6.000
P1148,P1149,7.000
P1149,P1150,8.000
P1150,P1151,9.000
P1151,P1152,10.000
P1152,P1153,11.000
P1153,P1154,4.000
P1154,P1155,5.000
P1155,P1156,6.000
P1156,P1157,7.000
P1157,P1158,8.000
P1158,P1159,9.000
P1159,P1160,10.000
P1160,P1161,11.000
P1161,P1162,4.000
P1162,P1163,5.000
P1163,P1164,6.000
P1164,P1165,7.000
P1165,P1166,8.000
